chr,bin,start,end,mean_female,mean_male,female_cov,male_cov
chr15,9080,82012592,82013590,0.376,0.155,20,68
chr15,9081,82014667,82015398,0.331,0.129,20,56
chr15,9082,82084520,82084857,0.923,0.698,12,58
chr15,9091,83091702,83092240,0.833,0.556,83,124
chr15,9095,83453459,83453583,0.441,0.657,8,17
chr15,9098,83973274,83973589,0.703,0.917,7,8
chr15,9099,84549071,84549521,0.468,0.178,10,17
chr15,9100,84550187,84550262,0.434,0.129,14,44
chr15,9101,84747738,84747816,0.456,0.244,11,23
chr15,9103,85189220,85189849,0.375,0.135,14,11
chr15,9104,85557158,85557640,0.85,0.625,16,23
chr15,9105,85566275,85566905,0.959,0.765,15,33
chr15,9106,85783251,85784164,0.971,0.768,9,24
chr15,9107,85955081,85955292,0.551,0.348,17,35
chr15,9112,86338105,86339522,0.566,0.811,40,72
chr15,9114,86423379,86423808,0.716,0.502,25,70
chr15,9115,86577127,86578023,0.582,0.299,19,57
chr15,9117,86600841,86601496,0.537,0.302,66,144
chr15,9118,86757854,86758909,0.861,0.649,19,62
chr15,9121,87118683,87120428,0.702,0.467,74,96
chr15,9122,87260919,87261717,0.933,0.717,22,63
chr15,9123,87286117,87286941,0.836,0.624,23,62
chr15,9124,87301324,87301990,0.618,0.822,10,34
chr15,9126,87334853,87335625,0.863,0.631,30,72
chr15,9127,87388492,87388697,0.53,0.768,6,18
chr15,9131,87585082,87585546,0.427,0.139,4,24
chr15,9133,87848818,87849278,0.944,0.746,28,67
chr15,9134,87905927,87906433,0.747,0.526,32,49
chr15,9138,88208754,88208807,0.526,0.736,18,41
chr15,9139,88375801,88376556,0.548,0.77,10,29
chr15,9140,88476880,88477430,0.455,0.679,7,8
chr15,9141,88654586,88654773,0.859,0.665,16,35
chr15,9142,88667686,88669100,0.917,0.69,36,69
chr15,9143,88725248,88725494,0.677,0.395,18,26
chr15,9145,89178592,89179888,0.699,0.482,34,98
chr15,9146,89200907,89201055,0.67,0.463,14,22
chr15,9147,89223137,89223594,0.862,0.66,19,41
chr15,9148,89415787,89416693,0.385,0.16,37,69
chr15,9150,89680904,89681944,0.803,0.52,15,65
chr15,9151,89704694,89705011,0.107,0.368,30,38
chr15,9154,90432846,90434167,0.128,0.366,15,57
chr15,9155,90502910,90503054,0.745,0.554,9,42
chr15,9157,90532079,90532372,0.753,0.555,28,44
chr15,9159,90848048,90849302,0.404,0.61,40,86
chr15,9160,90962818,90963283,0.575,0.879,16,64
chr15,9161,90964104,90965096,0.587,0.9,20,36
chr15,9162,91092272,91093169,0.703,0.499,20,21
chr15,9163,91115199,91116383,0.399,0.628,39,69
chr15,9164,91117602,91118535,0.431,0.647,38,92
chr15,9165,91187219,91187299,0.507,0.314,13,20
chr15,9167,91216295,91217191,0.579,0.817,23,44
chr15,9168,91583835,91585763,0.439,0.184,82,258
chr15,9169,91599257,91599935,0.182,0.441,37,36
chr15,9170,91600761,91601085,0.212,0.633,17,0
chr15,9171,91601715,91602240,0.226,0.775,7,0
chr15,9172,91607100,91609388,0.175,0.517,62,36
chr15,9173,91615960,91616885,0.659,0.434,16,19
chr15,9174,91617897,91622290,0.839,0.579,70,57
chr15,9175,91622982,91623287,0.67,0.457,9,19
chr15,9178,91959881,91961102,0.279,0.593,18,70
chr15,9179,91971933,91972302,0.673,0.447,5,12
chr15,9180,91993954,91994873,0.269,0.51,19,43
chr15,9181,92031228,92032920,0.844,0.612,20,42
chr15,9183,92039841,92040308,0.656,0.867,3,12
chr15,9184,92113432,92114393,0.634,0.433,40,54
chr15,9187,92378542,92380453,0.312,0.528,31,74
chr15,9189,92480166,92480680,0.509,0.317,17,35
chr15,9192,92656944,92657596,0.228,0.479,8,6
chr15,9194,92659602,92659789,0.215,0.593,6,4
chr15,9195,92661101,92661929,0.192,0.474,17,45
chr15,9196,92811177,92812293,0.651,0.457,71,139
chr15,9197,92900549,92901442,0.755,0.514,26,68
chr15,9200,92913334,92913480,0.863,0.666,15,41
chr15,9202,92915220,92916159,0.85,0.645,12,35
chr15,9204,92975589,92977600,0.439,0.163,25,48
chr15,9205,92978215,92978759,0.318,0.105,36,53
chr15,9206,93360775,93361071,0.47,0.673,20,36
chr15,9208,93433366,93433851,0.643,0.41,5,16
chr15,9209,93434498,93434759,0.815,0.549,5,10
chr15,9210,93591202,93591314,0.4,0.603,8,26
chr15,9212,94675995,94677126,0.345,0.611,26,28
chr15,9213,94678568,94679066,0.224,0.513,10,12
chr15,9214,94679886,94682441,0.243,0.486,27,17
chr15,9216,94913740,94914438,0.801,0.598,23,84
chr15,9217,95561462,95561956,0.689,0.891,21,55
chr15,9218,96673413,96674693,0.568,0.928,15,10
chr15,9219,96675208,96676704,0.611,0.883,16,37
chr15,9220,96826522,96827125,0.536,0.815,43,96
chr15,9221,96830468,96830950,0.821,0.62,6,12
chr15,9224,96980040,96980686,0.588,0.833,11,26
chr15,9225,97420350,97420860,0.532,0.781,7,17
chr15,9226,97421967,97423431,0.591,0.85,8,28
chr15,9227,97424270,97424292,0.683,0.892,7,24
chr15,9228,97464338,97466892,0.501,0.711,29,64
chr15,9229,97467716,97469411,0.349,0.591,28,59
chr15,9230,98266243,98266555,0.646,0.846,10,22
chr15,9231,98456492,98457051,0.182,0.398,12,17
chr15,9232,98457934,98458338,0.156,0.402,31,41
chr15,9235,98540583,98541139,0.24,0.506,21,78
chr15,9239,100090870,100092424,0.591,0.846,30,53
chr15,9241,100432072,100432671,0.866,0.646,14,28
chr15,9243,100516330,100516637,0.683,0.957,12,12
chr15,9244,100833343,100833783,0.793,0.597,15,45
chr15,9245,101430898,101431700,0.854,0.64,12,35
chr15,9248,101841155,101843654,0.845,0.536,23,72
chr15,9249,101906211,101906817,0.499,0.704,22,35
chr15,9250,101953852,101954021,0.606,0.809,4,12
chr15,9253,102559528,102560453,0.729,0.498,20,59
chr15,9255,102689420,102690340,0.663,0.964,13,17
chr15,9257,103110774,103111286,0.653,0.879,10,17
chr15,9258,103117061,103117566,0.695,0.904,22,61
chr15,9260,103234624,103235972,0.224,0.493,45,60
chr15,9261,103378082,103379824,0.574,0.823,79,171
chr15,9262,103710806,103711011,0.674,0.896,14,7
chr15,9263,103780712,103780753,0.262,0.533,16,54
chr15,9264,103806892,103807118,0.72,0.921,9,11
chr15,9266,103879667,103880021,0.696,0.904,12,41
chr15,9267,103969716,103970282,0.926,0.719,25,90
chr15,9268,104032210,104033421,0.805,0.601,17,26
chr15,9272,104599316,104599989,0.584,0.801,17,20
chr15,9273,104803475,104804523,0.757,0.537,13,41
chr15,9274,104826828,104827460,0.729,0.505,14,29
chr15,9275,104915147,104917475,0.285,0.544,49,105
chr15,9278,105071490,105073414,0.513,0.768,42,44
chr15,9279,105210425,105211356,0.749,0.432,20,40
chr15,9282,105250935,105252455,0.601,0.375,36,109
chr15,9283,105252969,105254980,0.783,0.567,75,190
chr15,9284,105316438,105316728,0.818,0.618,11,26
chr15,9287,105543176,105543572,0.63,0.423,53,113
chr15,9289,105869677,105870516,0.567,0.248,26,75
chr15,9292,106011752,106011873,0.667,0.473,24,38
chr15,9293,106014611,106015303,0.763,0.571,10,28
chr15,9295,106258612,106260034,0.555,0.279,39,122
chr15,9296,106271544,106271607,0.496,0.711,14,40
chr15,9297,106290416,106291278,0.744,0.528,22,43
chr15,9298,106305656,106306212,0.761,0.55,9,9
chr15,9300,106404576,106404612,0.72,0.922,4,0
chr15,9302,106484639,106485348,0.685,0.903,38,70
chr15,9303,106486665,106486927,0.738,0.533,36,60
chr15,9305,106596690,106597173,0.803,0.58,30,62
chr15,9307,106796213,106796652,0.676,0.436,14,39
chr15,9308,106859980,106860835,0.472,0.252,51,163
chr15,9309,106879615,106879937,0.711,0.508,8,33
chr15,9320,107162377,107162704,0.68,0.944,12,11
chr15,9322,107165520,107165758,0.741,0.948,6,18
chr15,9325,107342718,107343319,0.354,0.572,13,35
chr15,9326,107344212,107344856,0.352,0.565,29,52
chr15,9327,107994404,107994684,0.348,0.108,9,22
chr15,9328,108025807,108027061,0.496,0.805,25,40
chr15,9329,108034658,108035218,0.744,0.536,23,43
chr15,9333,108134792,108135047,0.709,0.507,4,20
chr15,9334,108271347,108271782,0.411,0.663,15,21
chr15,9335,108322365,108322619,0.747,0.527,3,2
chr15,9336,108446026,108446248,0.829,0.629,8,23
chr15,9337,108446903,108447318,0.868,0.623,12,19
chr15,9338,108584620,108585039,0.466,0.724,12,20
chr15,9340,108686571,108686809,0.39,0.668,8,37
chr15,9342,108839101,108839714,0.631,0.419,50,106
chr15,9343,108841911,108842162,0.442,0.651,46,105
chr15,9344,108886362,108886693,0.874,0.653,57,107
chr15,9345,108912634,108912802,0.341,0.124,44,162
chr15,9346,109395578,109395699,0.967,0.55,9,13
chr15,9348,109515634,109515641,0.434,0.237,4,37
chr15,9349,109535212,109535293,0.484,0.291,17,38
chr15,9350,109721496,109721885,0.501,0.309,14,20
chr15,9353,109874648,109875041,0.835,0.638,11,17
chr15,9354,110034040,110035359,0.407,0.626,40,95
chr15,9357,110747598,110748764,0.653,0.441,6,12
chr15,9362,110874591,110875207,0.328,0.688,26,40
chr15,9364,110958195,110958857,0.545,0.32,9,67
chr15,9366,110961513,110961629,0.375,0.163,6,22
chr15,9368,111073431,111074104,0.706,0.441,11,19
chr15,9369,111131585,111132280,0.534,0.767,22,53
chr16,9372,2333,2549,0.432,0.688,12,35
chr16,9373,3210,3332,0.438,0.691,12,14
chr16,9375,5107,5512,0.454,0.701,15,20
chr16,9376,6518,7144,0.47,0.708,8,17
chr16,9378,47556,47973,0.276,0.541,5,15
chr16,9380,49697,49973,0.291,0.523,24,38
chr16,9381,57419,58272,0.589,0.82,28,50
chr16,9383,108107,108354,0.5,0.279,3,14
chr16,9385,163863,164855,0.72,0.422,21,58
chr16,9389,191265,191334,0.771,0.574,19,44
chr16,9391,703498,704302,0.331,0.122,11,24
chr16,9392,1263958,1265394,0.558,0.295,28,76
chr16,9393,1355247,1355967,0.71,0.502,4,10
chr16,9394,1405097,1405791,0.778,0.528,25,54
chr16,9396,1521797,1522422,0.72,0.512,64,187
chr16,9397,1593346,1593868,0.564,0.353,18,34
chr16,9399,1696226,1697759,0.885,0.648,72,113
chr16,9401,1895564,1895754,0.06,0.63,46,89
chr16,9402,2009011,2009665,0.157,0.393,19,29
chr16,9403,2199338,2200466,0.32,0.559,34,42
chr16,9404,2200976,2201519,0.388,0.659,41,46
chr16,9405,2202396,2204756,0.416,0.642,48,76
chr16,9406,2225429,2225864,0.499,0.721,34,108
chr16,9407,2231815,2232708,0.641,0.847,57,134
chr16,9411,2287049,2287184,0.679,0.483,10,24
chr16,9412,2287830,2290256,0.787,0.557,17,47
chr16,9413,2307856,2310339,0.625,0.384,25,36
chr16,9414,2469152,2469596,0.629,0.84,23,42
chr16,9415,2655653,2656824,0.395,0.718,37,108
chr16,9416,2669342,2669930,0.538,0.791,14,29
chr16,9419,2697726,2698464,0.701,0.459,20,16
chr16,9420,2717012,2717300,0.481,0.285,26,34
chr16,9421,2728882,2729227,0.406,0.197,29,53
chr16,9422,2919987,2920617,0.852,0.651,5,14
chr16,9424,2983043,2983606,0.548,0.293,29,66
chr16,9426,3239553,3239883,0.862,0.666,8,11
chr16,9428,3257913,3258158,0.608,0.841,21,72
chr16,9429,3270341,3270640,0.522,0.731,9,30
chr16,9430,3358294,3358607,0.63,0.418,20,49
chr16,9431,3392845,3393093,0.584,0.841,5,21
chr16,9433,3766471,3767257,0.138,0.385,41,22
chr16,9434,3969623,3969691,0.188,0.424,13,29
chr16,9435,4001904,4003249,0.319,0.539,58,156
chr16,9436,4231332,4231540,0.988,0.747,10,18
chr16,9437,4390239,4391827,0.761,0.545,26,72
chr16,9438,4807953,4808396,0.69,0.488,24,63
chr16,9439,4808958,4809227,0.715,0.485,19,75
chr16,9441,4810961,4811248,0.704,0.507,12,48
chr16,9442,4843905,4844602,0.473,0.691,23,18
chr16,9443,4848181,4849753,0.678,0.449,29,92
chr16,9448,5202851,5203025,0.714,0.917,4,14
chr16,9449,5226080,5228422,0.807,0.579,73,168
chr16,9450,5307747,5309060,0.487,0.712,48,77
chr16,9452,5327287,5327722,0.833,0.58,6,30
chr16,9453,5359965,5360984,0.638,0.377,25,44
chr16,9454,5470644,5471873,0.582,0.797,27,61
chr16,9455,5825162,5825304,0.061,0.268,23,22
chr16,9456,5875208,5875305,0.496,0.704,9,27
chr16,9457,5875912,5876226,0.561,0.767,9,0
chr16,9458,6103697,6103786,0.507,0.71,9,22
chr16,9459,6209264,6209527,0.862,0.671,6,27
chr16,9460,6230787,6230990,0.685,0.896,16,43
chr16,9461,6275211,6275520,0.55,0.349,12,39
chr16,9462,6430864,6431084,0.919,0.668,9,18
chr16,9464,6681940,6682397,0.819,0.621,17,51
chr16,9465,6760899,6760935,0.3,0.502,7,9
chr16,9466,6882324,6883510,0.926,0.705,38,87
chr16,9468,6930170,6930775,0.902,0.674,35,93
chr16,9469,7350557,7351238,0.698,0.351,21,36
chr16,9470,7365975,7366066,0.595,0.805,11,27
chr16,9472,7510103,7511837,0.557,0.813,29,46
chr16,9475,7658013,7658381,0.881,0.684,13,24
chr16,9476,7936353,7936750,0.641,0.444,13,14
chr16,9478,8230779,8230881,0.552,0.764,14,29
chr16,9480,8385047,8385851,0.727,0.52,22,29
chr16,9483,8678974,8679322,0.841,0.644,20,40
chr16,9484,8899234,8899554,0.49,0.271,15,52
chr16,9485,9094308,9094937,0.704,0.497,19,50
chr16,9489,9487477,9488045,0.7,0.909,14,18
chr16,9494,10079345,10080191,0.64,0.423,30,90
chr16,9495,10173839,10174464,0.569,0.345,28,111
chr16,9496,10236562,10237158,0.491,0.224,26,50
chr16,9497,10340541,10342566,0.253,0.6,25,71
chr16,9499,10400321,10400903,0.594,0.84,27,32
chr16,9501,10528882,10529029,0.524,0.746,19,52
chr16,9502,10608187,10609851,0.69,0.428,41,143
chr16,9503,10694882,10697473,0.466,0.209,113,227
chr16,9504,10745897,10746891,0.871,0.66,29,46
chr16,9505,10793233,10795323,0.811,0.567,31,106
chr16,9507,10822353,10823238,0.622,0.409,18,34
chr16,9508,11017971,11018522,0.469,0.259,44,94
chr16,9511,11305713,11305772,0.927,0.733,5,17
chr16,9513,11396561,11397338,0.559,0.772,17,76
chr16,9515,11439412,11439981,0.714,0.512,24,48
chr16,9516,11461949,11462086,0.477,0.711,6,18
chr16,9519,11701293,11701663,0.555,0.774,9,39
chr16,9520,11732333,11733667,0.664,0.911,43,87
chr16,9523,11938007,11938502,0.607,0.813,8,31
chr16,9524,12060380,12062573,0.229,0.606,26,14
chr16,9525,12063095,12064205,0.154,0.706,21,8
chr16,9526,12065049,12066223,0.169,0.731,11,6
chr16,9527,12066731,12067808,0.234,0.694,5,7
chr16,9530,12110629,12111134,0.445,0.235,40,129
chr16,9531,12112222,12112856,0.446,0.236,17,46
chr16,9533,13429752,13430258,0.864,0.666,16,30
chr16,9535,13468586,13469931,0.542,0.802,39,41
chr16,9536,13470483,13471184,0.419,0.712,16,25
chr16,9538,13605715,13606109,0.705,0.908,16,16
chr16,9541,14117162,14119518,0.85,0.646,48,141
chr16,9542,14375856,14377188,0.792,0.579,91,148
chr16,9544,15020822,15022409,0.718,0.45,56,49
chr16,9549,15032770,15033614,0.316,0.638,13,27
chr16,9551,15090880,15091174,0.71,0.514,17,48
chr16,9557,15178176,15179482,0.853,0.614,47,95
chr16,9561,15640528,15641030,0.815,0.606,7,39
chr16,9563,16019489,16020801,0.338,0.137,23,91
chr16,9565,16023868,16026329,0.387,0.124,25,79
chr16,9566,16027137,16028098,0.419,0.183,4,17
chr16,9568,17398367,17400683,0.667,0.886,37,79
chr16,9569,17567630,17568231,0.908,0.7,10,41
chr16,9570,17755758,17756258,0.711,0.914,12,33
chr16,9571,17883341,17884399,0.687,0.901,14,26
chr16,9577,18680836,18681090,0.977,0.786,6,23
chr16,9578,19221868,19222231,0.527,0.196,30,104
chr16,9580,19419918,19419961,0.948,0.755,3,0
chr16,9581,19421878,19422169,0.974,0.685,3,2
chr16,9582,19422937,19423640,0.977,0.744,8,3
chr16,9584,19766213,19766685,0.834,0.575,13,30
chr16,9585,19876877,19877084,0.71,0.918,3,34
chr16,9587,19922959,19923183,0.481,0.281,4,20
chr16,9590,20396136,20396311,0.418,0.658,47,146
chr16,9591,20438381,20438451,0.267,0.492,4,13
chr16,9592,20534481,20535898,0.93,0.71,9,40
chr16,9595,20742210,20742245,0.727,0.957,5,9
chr16,9596,20757460,20757695,0.719,0.52,30,74
chr16,9597,20823551,20823738,0.964,0.768,7,24
chr16,9598,20899088,20899282,0.596,0.828,14,25
chr16,9599,20908108,20908845,0.905,0.622,18,53
chr16,9600,20989274,20989920,0.703,0.918,28,62
chr16,9601,21133990,21134193,0.581,0.798,9,21
chr16,9603,21361319,21362371,0.938,0.714,32,78
chr16,9604,21381243,21381622,0.717,0.928,19,38
chr16,9607,21766703,21768319,0.599,0.974,32,19
chr16,9617,22006146,22007690,0.362,0.088,9,26
chr16,9623,22202217,22203728,0.335,0.119,50,234
chr16,9624,22415921,22416249,0.594,0.797,20,68
chr16,9625,22420652,22422067,0.544,0.336,29,85
chr16,9626,22698672,22699160,0.897,0.696,15,26
chr16,9627,22827160,22829107,0.815,0.564,27,63
chr16,9628,22829700,22831845,0.776,0.554,53,145
chr16,9629,22856585,22857229,0.808,0.591,31,57
chr16,9631,22960408,22961733,0.812,0.564,17,68
chr16,9633,23066328,23067527,0.713,0.427,20,47
chr16,9634,23253045,23253316,0.942,0.738,7,35
chr16,9637,23369382,23370759,0.882,0.668,51,187
chr16,9638,23380201,23380700,0.77,0.502,15,34
chr16,9639,23439972,23442818,0.887,0.639,105,225
chr16,9640,23752497,23752806,0.702,0.922,13,11
chr16,9641,24067708,24067888,0.536,0.752,30,64
chr16,9642,24214323,24214994,0.534,0.217,21,85
chr16,9643,24398796,24398870,0.609,0.858,7,7
chr16,9644,24399576,24402553,0.482,0.828,64,123
chr16,9647,24806445,24807366,0.634,0.856,11,23
chr16,9648,24839066,24840083,0.414,0.215,16,50
chr16,9651,25054534,25056054,0.324,0.559,43,78
chr16,9654,25108717,25110280,0.564,0.296,52,191
chr16,9657,25393534,25393734,0.828,0.551,6,14
chr16,9661,25608806,25609162,0.61,0.881,6,9
chr16,9662,25609711,25610326,0.623,0.868,17,22
chr16,9664,25661143,25661252,0.696,0.914,4,24
chr16,9665,25984723,25984929,0.314,0.516,17,26
chr16,9668,26182048,26182910,0.695,0.487,15,42
chr16,9669,26183493,26183841,0.721,0.521,14,45
chr16,9670,26435404,26437266,0.814,0.529,64,120
chr16,9672,26448978,26449349,0.756,0.383,6,5
chr16,9673,26450273,26450547,0.75,0.533,7,9
chr16,9674,26479698,26482111,0.915,0.699,33,84
chr16,9677,26646323,26646689,0.669,0.885,24,30
chr16,9678,26743061,26745551,0.298,0.576,92,164
chr16,9679,27395729,27396343,0.417,0.645,13,48
chr16,9682,28249045,28249858,0.847,0.65,6,34
chr16,9685,29054420,29054544,0.396,0.626,5,16
chr16,9686,29557911,29558205,0.789,0.516,6,14
chr16,9688,29631205,29632116,0.788,0.451,8,28
chr16,9689,29666502,29668034,0.628,0.873,9,36
chr16,9693,30088162,30089269,0.856,0.513,11,29
chr16,9697,30118377,30120037,0.654,0.874,18,34
chr16,9702,30841716,30841749,0.983,0.772,9,21
chr16,9705,32075098,32075690,0.635,0.862,13,43
chr16,9706,32105934,32106583,0.859,0.629,26,68
chr16,9709,32197517,32197885,0.734,0.942,24,14
chr16,9711,32665410,32665571,0.681,0.489,12,33
chr16,9712,32749939,32750217,0.502,0.714,28,44
chr16,9713,32877107,32877660,0.769,0.529,9,30
chr16,9714,32996185,32996687,0.69,0.497,17,37
chr16,9715,33229930,33231313,0.369,0.579,21,51
chr16,9716,33358537,33358667,0.591,0.394,9,24
chr16,9717,33409643,33410386,0.641,0.446,11,28
chr16,9718,33410891,33411683,0.624,0.425,4,23
chr16,9721,33415168,33416030,0.607,0.413,26,27
chr16,9725,33419051,33419567,0.632,0.424,16,53
chr16,9727,33657915,33659810,0.462,0.667,55,81
chr16,9728,33660505,33661103,0.501,0.709,14,34
chr16,9733,34719388,34719665,0.659,0.864,10,12
chr16,9734,34720225,34720391,0.624,0.835,3,23
chr16,9735,35091369,35092091,0.612,0.831,12,36
chr16,9736,35092665,35092934,0.635,0.84,27,30
chr16,9738,35116147,35118077,0.392,0.153,35,114
chr16,9739,35455898,35456412,0.324,0.095,45,59
chr16,9741,35774926,35775657,0.614,0.833,21,37
chr16,9742,35981804,35982673,0.668,0.464,9,25
chr16,9743,36054317,36054369,0.653,0.888,8,18
chr16,9744,36184220,36184616,0.577,0.382,8,9
chr16,9748,36745709,36745808,0.358,0.558,17,30
chr16,9750,36848218,36848459,0.665,0.875,13,25
chr16,9753,36879095,36879484,0.474,0.688,10,18
chr16,9754,37088163,37088297,0.776,0.574,7,18
chr16,9755,37088927,37089889,0.828,0.592,27,35
chr16,9756,37090581,37090724,0.818,0.615,6,34
chr16,9757,37173348,37174448,0.879,0.649,37,77
chr16,9759,37767252,37768256,0.736,0.539,23,62
chr16,9763,38121107,38122639,0.82,0.621,25,72
chr16,9764,38171716,38171870,0.608,0.844,5,20
chr16,9768,38437836,38438025,0.766,0.514,10,56
chr16,9769,38440737,38440888,0.745,0.465,19,45
chr16,9770,38441921,38442124,0.725,0.511,16,36
chr16,9772,38617912,38618175,0.72,0.449,7,19
chr16,9773,39272462,39272832,0.663,0.881,11,24
chr16,9774,39562514,39563229,0.752,0.557,13,45
chr16,9781,40462115,40462331,0.457,0.24,31,43
chr16,9782,40462917,40463608,0.439,0.212,19,44
chr16,9783,40464185,40465117,0.437,0.233,22,25
chr16,9784,40562479,40562895,0.764,0.521,4,8
chr16,9785,40564077,40564120,0.635,0.388,13,20
chr16,9787,40826866,40827350,0.49,0.747,12,17
chr16,9789,40828794,40829440,0.474,0.704,13,15
chr16,9790,40830054,40830438,0.475,0.681,10,17
chr16,9791,41180106,41180272,0.656,0.46,21,46
chr16,9794,41435807,41437355,0.506,0.197,32,58
chr16,9795,41802472,41803267,0.375,0.58,14,33
chr16,9796,42122352,42122652,0.635,0.412,4,16
chr16,9798,42123820,42124123,0.454,0.25,9,48
chr16,9799,42290500,42291255,0.158,0.387,32,24
chr16,9802,42465228,42466235,0.488,0.266,23,26
chr16,9803,42467138,42471018,0.579,0.342,30,47
chr16,9804,42534561,42536489,0.614,0.862,24,59
chr16,9806,42836572,42839128,0.272,0.027,51,184
chr16,9810,43078293,43079306,0.626,0.835,48,81
chr16,9816,43175898,43176210,0.924,0.654,8,19
chr16,9821,43635970,43636005,0.842,0.638,8,22
chr16,9826,44953254,44953828,0.876,0.664,14,20
chr16,9828,45652174,45653361,0.88,0.678,32,55
chr16,9832,45808678,45809004,0.893,0.685,6,16
chr16,9834,45973983,45974172,0.672,0.899,8,8
chr16,9835,45993212,45994343,0.431,0.666,39,102
chr16,9837,46272703,46273753,0.538,0.771,45,104
chr16,9838,46292140,46292825,0.611,0.842,19,63
chr16,9839,46440460,46440839,0.53,0.322,22,86
chr16,9840,46475609,46475956,0.763,0.535,16,49
chr16,9841,46477336,46479551,0.443,0.859,77,117
chr16,9842,46662775,46663418,0.514,0.306,30,85
chr16,9843,46788742,46788984,0.773,0.555,15,27
chr16,9846,46950743,46951120,0.68,0.911,4,19
chr16,9847,46989782,46990516,0.687,0.483,28,81
chr16,9849,47184757,47185543,0.893,0.683,32,69
chr16,9850,47320258,47321857,0.511,0.776,35,129
chr16,9851,47376568,47376827,0.768,0.986,3,9
chr16,9852,47393304,47393818,0.305,0.585,17,38
chr16,9853,47444788,47445153,0.508,0.249,12,24
chr16,9854,47541146,47543203,0.807,0.55,51,141
chr16,9855,47546581,47546901,0.793,0.551,21,59
chr16,9857,47699366,47699623,0.466,0.715,12,37
chr16,9859,47791864,47793339,0.88,0.586,15,93
chr16,9861,47996499,47996879,0.79,0.57,14,41
chr16,9862,48127729,48128053,0.751,0.551,7,19
chr16,9863,48224745,48225101,0.882,0.688,4,6
chr16,9864,48280857,48281516,0.386,0.127,19,64
chr16,9865,48349964,48349988,0.842,0.561,12,15
chr16,9866,48382010,48382692,0.714,0.508,19,84
chr16,9867,48491848,48492803,0.92,0.705,28,70
chr16,9869,48894462,48894642,0.67,0.475,15,49
chr16,9870,48920330,48920488,0.565,0.79,13,11
chr16,9874,49251900,49255312,0.694,0.367,48,151
chr16,9876,49647195,49647720,0.718,0.484,20,42
chr16,9877,49648303,49648760,0.741,0.516,17,54
chr16,9878,49662005,49662068,0.377,0.609,8,25
chr16,9879,49662929,49663562,0.338,0.575,36,88
chr16,9880,49677818,49678142,0.735,0.525,18,33
chr16,9881,49699269,49700138,0.781,0.517,21,23
chr16,9882,49737072,49739703,0.828,0.6,35,91
chr16,9883,49843350,49843959,0.838,0.64,15,34
chr16,9884,49956851,49957093,0.714,0.516,5,28
chr16,9885,50119737,50121456,0.7,0.928,30,49
chr16,9886,50167702,50167840,0.255,0.456,8,15
chr16,9887,50387860,50388818,0.793,0.503,31,94
chr16,9888,50418965,50419398,0.725,0.527,7,12
chr16,9889,50485631,50486456,0.446,0.685,82,101
chr16,9891,50524267,50525218,0.813,0.564,14,22
chr16,9894,51136280,51137612,0.502,0.727,30,74
chr16,9896,51532279,51532612,0.703,0.932,29,43
chr16,9897,51533247,51533763,0.731,0.942,11,43
chr16,9898,51759073,51759839,0.59,0.798,18,62
chr16,9900,51936827,51938157,0.932,0.705,55,124
chr16,9901,51991231,51992000,0.837,0.572,12,46
chr16,9902,51992503,51993887,0.854,0.543,46,86
chr16,9904,52180421,52180729,0.55,0.786,11,17
chr16,9905,52213047,52215328,0.777,0.568,27,14
chr16,9906,52378675,52379290,0.492,0.72,8,12
chr16,9907,52562391,52563213,0.88,0.647,7,20
chr16,9908,52563731,52564559,0.91,0.672,13,28
chr16,9909,52892642,52893119,0.254,0.471,12,15
chr16,9910,52894473,52895061,0.304,0.565,30,42
chr16,9913,53379341,53379736,0.523,0.17,11,36
chr16,9914,53383729,53384762,0.434,0.11,59,118
chr16,9919,53518392,53518606,0.951,0.757,16,24
chr16,9920,53623537,53624360,0.924,0.728,17,70
chr16,9921,54002145,54002761,0.199,0.414,7,20
chr16,9922,54078211,54078720,0.56,0.765,6,12
chr16,9925,54767245,54768840,0.343,0.578,92,218
chr16,9926,54790636,54791295,0.49,0.284,26,67
chr16,9927,54796028,54796508,0.598,0.395,34,83
chr16,9928,54801824,54802407,0.296,0.062,7,25
chr16,9929,54867364,54868136,0.332,0.544,32,67
chr16,9931,54999264,54999530,0.677,0.434,7,15
chr16,9937,55624729,55625741,0.687,0.463,16,41
chr16,9938,55650817,55651515,0.869,0.642,8,2
chr16,9939,55652542,55652890,0.922,0.693,12,22
chr16,9940,55798431,55798803,0.561,0.77,9,13
chr16,9945,56170520,56170651,0.538,0.739,25,21
chr16,9946,56242022,56243714,0.357,0.137,24,163
chr16,9949,56431992,56432764,0.535,0.228,11,25
chr16,9950,56496838,56496994,0.373,0.648,8,21
chr16,9951,56497506,56497870,0.643,0.868,7,30
chr16,9957,57895400,57895688,0.459,0.698,10,30
chr16,9960,58230295,58230324,0.923,0.721,7,27
chr16,9961,58245239,58245692,0.594,0.801,4,3
chr16,9962,58826409,58826683,0.457,0.66,4,10
chr16,9963,58841101,58841741,0.9,0.674,5,10
chr16,9966,59176295,59176714,0.875,0.681,23,45
chr16,9967,59189211,59189496,0.699,0.467,15,44
chr16,9970,59826822,59826942,0.52,0.32,17,32
chr16,9971,60003565,60003852,0.79,0.593,12,40
chr16,9972,60014432,60014621,0.523,0.31,5,15
chr16,9973,60125653,60126009,0.918,0.711,12,39
chr16,9976,60521031,60522173,0.036,0.323,6,15
