chr,bin,start,end,mean_female,mean_estradiol,female_cov,estradiol_cov,slope_clusters,num_cpg
chr15,13133,41366932,41366934,0.906,0.615,14,39,0.00225111842677461,8
chr15,13134,41367924,41367926,0.895,0.691,20,33,0.00570027684723318,4
chr15,13135,41430884,41430886,0.543,0.313,29,73,0.0370332688601785,12
chr15,13136,41431723,41431725,0.552,0.351,4,24,0.00747622271455961,3
chr15,13137,41449253,41449255,0.402,0.638,30,40,0.346406396125841,8
chr15,13140,41607474,41607476,0.362,0.57,26,43,0.188173055746942,9
chr15,13141,41827345,41827347,0.519,0.72,41,43,0.101768061705199,10
chr15,13142,41892437,41892439,0.913,0.615,17,7,0.016167860357251,4
chr15,13143,41904825,41904827,0.495,0.699,11,42,0.0164030456635125,11
chr15,13144,41922335,41922337,0.874,0.672,33,48,0.0142403965614117,11
chr15,13148,41985117,41985119,0.643,0.852,3,10,0.0123853513721861,3
chr15,13150,42098431,42098433,0.814,0.617,31,57,0.0332206627355389,8
chr15,13151,42414026,42414028,0.673,0.899,66,133,0.0310070457125845,24
chr15,13153,42516896,42516898,0.692,0.998,6,11,0.00022446528594422,4
chr15,13154,42517521,42517523,0.317,0.777,5,9,0.209376479288855,4
chr15,13155,42519374,42519376,0.143,0.562,15,10,0.0477886495093899,4
chr15,13156,42520089,42520091,0.636,0.973,7,14,0.0494881680400178,6
chr15,13158,42638953,42638955,0.675,0.471,10,17,0.232293001367078,5
chr15,13161,42796109,42796111,0.659,0.861,13,16,0.0141612944222587,3
chr15,13163,42961676,42961678,0.707,0.506,24,52,0.156114011706138,8
chr15,13164,43022708,43022710,0.699,0.471,30,116,0.0702812216112079,10
chr15,13165,43023614,43023616,0.601,0.318,5,8,0.00773166473191189,3
chr15,13167,43024534,43024536,0.781,0.574,7,23,0.0477021337829867,4
chr15,13168,43039828,43039830,0.438,0.246,10,22,0.0379156965933293,6
chr15,13169,43300711,43300713,0.413,0.665,17,27,0.28879330140976,7
chr15,13170,43544173,43544175,0.742,0.53,4,7,0.13393263309755,3
chr15,13171,43583231,43583233,0.598,0.331,7,12,0.426877365032302,4
chr15,13172,43622004,43622006,0.701,0.493,30,59,0.0300960129232948,12
chr15,13173,43667876,43667878,0.69,0.409,5,10,0.209165550268187,3
chr15,13175,43671202,43671204,0.557,0.799,15,24,0.0113191346007021,5
chr15,13177,43731032,43731034,0.644,0.901,12,14,0.185550715067659,4
chr15,13182,43757260,43757262,0.912,0.728,10,6,0.0110523867229657,3
chr15,13185,43882659,43882661,0.716,0.501,24,47,0.0452805136931559,11
chr15,13187,43977509,43977511,0.654,0.869,20,28,0.00256203364592511,4
chr15,13188,43977974,43977976,0.623,0.83,8,12,0.00132502541047297,3
chr15,13192,44620424,44620426,0.783,0.546,4,15,0.00259463868971677,3
chr15,13194,44760440,44760442,0.821,0.614,31,67,0.0151189536158662,6
chr15,13196,44844932,44844934,0.714,0.922,11,21,0.00300661578307237,6
chr15,13200,44923796,44923798,0.632,0.851,8,10,0.00609913528120798,3
chr15,13202,44992391,44992393,0.831,0.644,25,48,0.00780173091628467,9
chr15,13204,45178259,45178261,0.546,0.75,29,41,0.0784525709187263,9
chr15,13207,45200360,45200362,0.672,0.448,31,68,0.0188652289198268,10
chr15,13208,45203268,45203270,0.664,0.876,13,20,0.00143322718973249,5
chr15,13209,45376601,45376603,0.262,0.596,16,24,0.526398312804356,6
chr15,13214,45516792,45516794,0.591,0.805,19,31,0.179332920549052,7
chr15,13218,45748981,45748983,0.726,0.975,18,14,0.00197427238160675,4
chr15,13219,45761599,45761601,0.805,0.604,9,20,9.6872543445814e-05,4
chr15,13220,45762196,45762198,0.81,0.616,47,87,0.00321979416135754,12
chr15,13221,45926401,45926403,0.474,0.266,4,15,0.305015729527846,3
chr15,13223,45986344,45986346,0.586,0.795,4,8,0.0108379131577364,3
chr15,13225,46049797,46049799,0.321,0.522,18,27,0.0601144395642262,6
chr15,13226,46119905,46119907,0.695,0.913,5,5,0.00387130110968836,3
chr15,13227,46120584,46120586,0.718,0.93,15,32,0.00782617281358244,5
chr15,13228,46315800,46315802,0.446,0.711,10,21,0.401571380466689,3
chr15,13229,46379384,46379386,0.668,0.887,11,8,0.0171843956925686,3
chr15,13230,46383179,46383181,0.328,0.757,29,36,0.33662583862521,11
chr15,13231,46386774,46386776,0.762,0.959,7,7,0.000765917747802214,3
chr15,13233,46475825,46475827,0.366,0.712,5,5,0.000435708743671381,3
chr15,13235,46604905,46604907,0.793,0.6,29,44,0.0354362070524197,8
chr15,13236,46647725,46647727,0.448,0.653,45,87,0.110496869934376,13
chr15,13238,46670340,46670342,0.288,0.557,6,15,0.0597959666867942,3
chr15,13239,46671279,46671281,0.457,0.793,27,81,0.0174713427977845,11
chr15,13240,46718538,46718540,0.208,0.45,24,35,0.110991838953289,6
chr15,13241,46763851,46763853,0.571,0.778,7,5,0.01546335322003,3
chr15,13244,46780923,46780925,0.711,0.934,5,8,0.0103209974291705,3
chr15,13246,47065661,47065663,0.721,0.356,12,21,3.92929691999111e-05,3
chr15,13249,47357650,47357652,0.566,0.812,27,46,0.00620234107714035,8
chr15,13250,47371763,47371765,0.549,0.744,13,18,0.00012664431157583,3
chr15,13251,47597321,47597323,0.552,0.818,37,71,0.185933824839793,9
chr15,13252,47745003,47745005,0.478,0.85,43,93,0.111357973150034,20
chr15,13256,47766193,47766195,0.452,0.647,16,13,0.0316360339151864,3
chr15,13258,47946397,47946399,0.684,0.493,30,62,0.0246881766527407,9
chr15,13260,47957182,47957184,0.183,0.43,16,29,0.0199409768529037,7
chr15,13262,47974131,47974133,0.554,0.813,24,45,0.0104142997742884,8
chr15,13263,48035051,48035053,0.565,0.816,28,38,0.00270362612167163,8
chr15,13265,48296983,48296985,0.602,0.829,15,14,8.81627252412587e-05,4
chr15,13266,48324792,48324794,0.721,0.977,11,8,0.00587450986573756,3
chr15,13268,48328181,48328183,0.236,0.487,8,13,0.315627755268527,6
chr15,13269,48449105,48449107,0.804,0.615,18,49,0.0727363804632662,7
chr15,13270,48463515,48463517,0.895,0.619,11,13,0.264544361327529,3
chr15,13271,48565033,48565035,0.342,0.737,18,16,0.0431521673967973,3
chr15,13272,48565451,48565453,0.608,0.929,26,34,0.00244936072861557,5
chr15,13273,48655136,48655138,0.686,0.482,11,10,0.00487154456449734,3
chr15,13276,48747273,48747275,0.888,0.65,10,20,0.248333187041741,5
chr15,13278,48835128,48835130,0.403,0.598,20,33,0.0595176145281799,7
chr15,13280,49003876,49003878,0.307,0.52,19,34,0.212493302449557,5
chr15,13283,49391268,49391270,0.892,0.634,30,26,0.000254341496726984,9
chr15,13295,50705454,50705456,0.865,0.675,12,25,0.00115517627037531,4
chr15,13297,50889336,50889338,0.766,0.555,9,7,0.0726640937322344,3
chr15,13300,50938999,50939001,0.656,0.852,17,22,0.000280850453498682,7
chr15,13301,50939579,50939581,0.666,0.87,12,21,0.00774005380190546,4
chr15,13304,51356551,51356553,0.633,0.83,19,32,0.023608876781826,6
chr15,13305,51377479,51377481,0.5,0.712,6,9,0.062875377340154,3
chr15,13306,51401957,51401959,0.207,0.515,16,17,0.2142984816691,6
chr15,13309,51439785,51439787,0.411,0.809,11,23,0.112149860070479,5
chr15,13312,51499783,51499785,0.658,0.471,22,33,0.131745033750894,6
chr15,13313,51752390,51752392,0.546,0.762,10,9,0.0410952155806209,3
chr15,13314,51753072,51753074,0.428,0.625,12,33,0.00803663070089283,3
chr15,13315,51778926,51778928,0.28,0.556,21,37,0.299940717994076,5
chr15,13316,51833144,51833146,0.56,0.239,14,6,0.247898107374338,3
chr15,13318,52026879,52026881,0.933,0.657,12,30,0.00683451015862135,8
chr15,13320,52133111,52133113,0.651,0.208,11,14,0.102189537307628,3
chr15,13323,52177908,52177910,0.815,0.622,16,35,0.080778172508174,8
chr15,13324,52211813,52211815,0.728,0.527,17,31,0.386253026685626,5
chr15,13326,52287615,52287617,0.849,0.514,13,18,0.289363582269064,5
chr15,13329,52445857,52445859,0.221,0.455,28,40,0.0511671535117337,7
chr15,13331,52677969,52677971,0.872,0.656,24,37,0.00403122417991686,10
chr15,13332,52679102,52679104,0.896,0.657,15,22,0.00524068955204848,6
chr15,13334,52680578,52680580,0.91,0.693,14,10,0.000164666565877547,4
chr15,13335,52681069,52681071,0.909,0.714,4,26,0.000473575201473619,3
chr15,13338,54110418,54110420,0.567,0.85,44,10,0.000613107898322918,10
chr15,13341,55000904,55000906,0.496,0.694,22,34,0.0224645293780743,3
chr15,13342,55033011,55033013,0.849,0.597,11,9,0.14791836877905,3
chr15,13345,55051960,55051962,0.561,0.871,13,36,0.0407728178771927,5
chr15,13346,55053550,55053552,0.618,0.421,40,86,0.0863592316978783,11
chr15,13347,55122613,55122615,0.491,0.709,24,29,0.0121977445652321,5
chr15,13348,55123706,55123708,0.512,0.8,36,63,0.0251213789975999,13
chr15,13349,55125691,55125693,0.506,0.755,5,6,0.00708192702820398,3
chr15,13354,55325598,55325600,0.723,0.507,27,57,0.005409106201819,7
chr15,13355,55328462,55328464,0.719,0.922,14,23,0.00484229351078058,7
chr15,13359,55461271,55461273,0.851,0.629,4,6,0.0554368434485046,3
chr15,13360,56055723,56055725,0.538,0.74,6,15,0.0347947357446003,3
chr15,13362,56653329,56653331,0.936,0.743,16,8,0.00137838752417541,3
chr15,13365,56738133,56738135,0.755,0.527,30,80,0.00293889974334471,12
chr15,13369,56793787,56793789,0.838,0.608,12,32,0.0179708165585488,4
chr15,13370,56830311,56830313,0.704,0.908,27,35,0.00508701634264175,10
chr15,13371,56959512,56959514,0.564,0.763,10,13,0.0338637001350018,4
chr15,13373,57230338,57230340,0.718,0.932,8,15,0.00095233483196,3
chr15,13377,57336637,57336639,0.834,0.63,18,16,0.0109916347650625,4
chr15,13378,57337405,57337407,0.843,0.603,22,37,0.00224333773833008,10
chr15,13379,57340012,57340014,0.644,0.858,10,7,0.101096430671406,3
chr15,13381,57569801,57569803,0.654,0.854,45,72,0.195984638147869,10
chr15,13384,57674482,57674484,0.588,0.389,26,39,0.00581114150195527,4
chr15,13385,57674922,57674924,0.625,0.336,51,86,0.116011946162436,15
chr15,13386,57698792,57698794,0.161,0.494,10,16,0.00298277401939917,3
chr15,13388,57855041,57855043,0.593,0.79,18,36,0.0114670131100624,4
chr15,13389,57876116,57876118,0.551,0.319,11,21,0.0302051137473138,4
chr15,13390,57890531,57890533,0.739,0.472,10,20,0.419458507052433,4
chr15,13392,57914694,57914696,0.667,0.482,18,28,0.147130759132773,4
chr15,13393,58225592,58225594,0.292,0.528,8,13,0.225426033814173,4
chr15,13396,58552509,58552511,0.623,0.846,7,15,0.0583603512882779,3
chr15,13397,58601761,58601763,0.782,0.568,48,74,0.117046780296107,15
chr15,13398,58653166,58653168,0.393,0.664,17,24,0.422762801203509,9
chr15,13399,58695501,58695503,0.641,0.452,43,72,0.0479593889310453,11
chr15,13400,58710282,58710284,0.512,0.729,11,19,0.265455894836446,5
chr15,13401,58822060,58822062,0.451,0.698,52,75,0.162279987420388,14
chr15,13402,59216352,59216354,0.532,0.303,10,7,0.425785195820714,3
chr15,13404,59329650,59329652,0.536,0.802,17,34,0.261689003725339,6
chr15,13405,59396388,59396390,0.825,0.554,17,31,0.00282026938355506,6
chr15,13407,59397522,59397524,0.851,0.614,20,28,0.0295151451007372,6
chr15,13408,59424059,59424061,0.851,0.656,14,10,0.00217907626693137,3
chr15,13409,59424528,59424530,0.874,0.589,62,116,0.00439606930097314,14
chr15,13412,59740729,59740731,0.597,0.835,19,45,0.0211748049474572,7
chr15,13413,59741671,59741673,0.657,0.917,14,11,0.0250208574025165,5
chr15,13414,59927980,59927982,0.464,0.732,9,10,0.0430420472891551,4
chr15,13415,59967819,59967821,0.714,0.529,5,8,0.00948921966287475,3
chr15,13416,60055109,60055111,0.575,0.805,23,21,0.33749656148227,8
chr15,13419,60073146,60073148,0.614,0.824,34,21,0.0105496407438113,11
chr15,13421,60132068,60132070,0.429,0.678,29,38,0.0662359534068896,8
chr15,13422,60132710,60132712,0.204,0.457,40,70,0.0347195259346618,12
chr15,13423,60330412,60330414,0.713,0.519,11,12,0.000904529264882381,3
chr15,13427,60716567,60716569,0.621,0.815,11,7,0.000244499466898862,3
chr15,13428,60767247,60767249,0.568,0.364,19,17,0.259268746214037,5
chr15,13429,60769484,60769486,0.821,0.564,61,102,0.0016828924584672,18
chr15,13430,60793438,60793440,0.629,0.848,10,21,0.0201919460921808,5
chr15,13433,60968189,60968191,0.278,0.503,8,14,0.178740242339608,4
chr15,13434,61422691,61422693,0.889,0.617,48,62,0.0254145705107284,12
chr15,13436,61563619,61563621,0.491,0.267,28,39,0.197442156823541,7
chr15,13437,61596357,61596359,0.929,0.739,18,29,0.00454533423013626,6
chr15,13439,61690685,61690687,0.471,0.765,35,61,0.251575066204421,12
chr15,13440,61774324,61774326,0.232,0.432,26,54,0.142237234726215,7
chr15,13441,62009633,62009635,0.605,0.802,32,37,0.000774695624563115,8
chr15,13444,62204779,62204781,0.842,0.592,15,18,0.328842675963096,3
chr15,13445,62262376,62262378,0.526,0.757,34,34,0.239589866912312,8
chr15,13446,62295939,62295941,0.459,0.27,31,40,0.0731568487817965,6
chr15,13447,62351028,62351030,0.593,0.818,4,10,0.000891537920349572,3
chr15,13449,62367147,62367149,0.811,0.604,35,84,0.00985346709164647,10
chr15,13450,62403949,62403951,0.865,0.665,7,16,0.00284054683061796,3
chr15,13451,62740462,62740464,0.583,0.829,4,6,0.00613846359212966,3
chr15,13453,62741923,62741925,0.554,0.825,5,11,0.00491275308331662,5
chr15,13454,63315081,63315083,0.738,0.944,8,49,0.000773240447443979,6
chr15,13468,65975094,65975096,0.945,0.753,8,19,0.000618104410160636,4
chr15,13473,66547524,66547526,0.982,0.787,9,18,0.000819640249122733,3
chr15,13476,67563406,67563408,0.556,0.76,3,6,0.000164359205341635,3
chr15,13478,67721931,67721933,0.72,0.537,18,12,0.0250275595203019,4
chr15,13479,68444988,68444990,0.914,0.706,7,6,0.00993328063967758,3
chr15,13481,68447102,68447104,0.855,0.583,31,45,0.0306425799036805,11
chr15,13484,68501446,68501448,0.631,0.896,6,8,0.00118550169597298,4
chr15,13487,68685268,68685270,0.606,0.409,18,14,0.0217428481546459,6
chr15,13488,68687486,68687488,0.67,0.879,14,33,0.0129602540404371,4
chr15,13489,68688137,68688139,0.735,0.957,18,34,0.0124393011875464,8
chr15,13490,68747201,68747203,0.951,0.691,5,9,0.00581417594322553,3
chr15,13491,68747763,68747765,0.878,0.621,26,27,0.0493099249638018,7
chr15,13492,68748922,68748924,0.681,0.437,17,29,0.0483894621410231,9
chr15,13500,69173229,69173231,0.73,0.517,49,84,0.0288135174744394,17
chr15,13504,70180607,70180609,0.941,0.739,8,11,0.00415449580776917,3
chr15,13506,70181796,70181798,0.958,0.757,18,14,0.00272180753319207,10
chr15,13508,70559707,70559709,0.563,0.769,7,8,0.0176365568800977,3
chr15,13509,70730869,70730871,0.895,0.662,6,7,0.0016410678960308,3
chr15,13511,71033801,71033803,0.679,0.903,21,54,0.0312496014190127,8
chr15,13518,72797787,72797789,0.647,0.866,11,32,0.000308745328507665,6
chr15,13525,73029039,73029041,0.594,0.906,6,8,0.00115075512761453,4
chr15,13526,73030060,73030062,0.558,0.904,11,7,0.000467143304705431,6
chr15,13529,73056344,73056346,0.718,0.928,9,9,0.00436696534233816,3
chr15,13531,73057474,73057476,0.703,0.94,8,16,0.00167281201359026,3
chr15,13536,73239529,73239531,0.739,0.948,3,3,2.25939706832712e-07,3
chr15,13543,74658815,74658817,0.822,0.635,15,14,0.000370605748456709,7
chr15,13544,74659761,74659763,0.824,0.629,10,5,0.00161193474307286,3
chr15,13545,74660736,74660738,0.832,0.645,12,24,0.00275713830003854,5
chr15,13547,75411639,75411641,0.918,0.719,11,19,0.00267880723376934,5
chr15,13554,77057681,77057683,0.729,0.977,5,3,5.79147055640439e-05,3
chr15,13556,77515398,77515400,0.89,0.69,3,4,2.01387155166488e-05,3
chr15,13557,77515734,77515736,0.893,0.643,27,55,0.0121803097935123,13
chr15,13558,77517733,77517735,0.916,0.711,7,15,0.00444418195577678,5
chr15,13560,77731354,77731356,0.482,0.7,8,10,0.0123107710177949,3
chr15,13566,79467510,79467512,0.824,0.579,7,9,0.00177749090202939,3
chr15,13567,79467899,79467901,0.816,0.542,44,74,0.00386831098640128,19
chr15,13574,79618263,79618265,0.348,0.734,19,16,0.00174710336185324,7
chr15,13576,79619740,79619742,0.534,0.804,6,11,0.0541218413967022,5
chr15,13582,79924379,79924381,0.575,0.821,9,13,0.000806905338275432,3
chr15,13584,79925651,79925653,0.584,0.807,14,17,0.00125107840545347,3
chr15,13585,80118974,80118976,0.568,0.776,3,7,6.63956964264134e-06,3
chr15,13586,80119472,80119474,0.575,0.78,4,6,0.000396981486555537,3
chr15,13590,80713571,80713573,0.206,0.423,4,13,0.176516830706164,3
chr15,13591,81086185,81086187,0.685,0.897,11,13,4.5451808928898e-05,3
chr15,13596,81121922,81121924,0.494,0.708,9,7,0.00586563543792107,4
chr15,13599,81357562,81357564,0.703,0.496,8,13,0.00457379790750551,4
chr15,13601,81359377,81359379,0.787,0.602,6,14,0.0024556933309462,3
chr15,13603,81579727,81579729,0.572,0.839,7,9,0.000503811432010726,3
chr15,13605,81580792,81580794,0.548,0.838,11,15,0.00281966835994585,6
chr15,13616,82127875,82127877,0.648,0.442,9,15,0.0206205523177572,4
chr15,13619,82260124,82260126,0.847,0.6,3,11,0.00198795920034689,3
chr15,13623,82384477,82384479,0.586,0.395,7,7,0.0111830606070524,3
chr15,13624,82407331,82407333,0.459,0.668,33,23,0.137538138644089,9
chr15,13629,82421997,82421999,0.88,0.653,8,16,0.00944174669339193,5
chr15,13630,82645502,82645504,0.682,0.885,6,18,0.00118629336934462,4
chr15,13631,82646126,82646128,0.681,0.889,4,25,5.36110246696087e-06,4
chr15,13640,83130887,83130889,0.944,0.718,10,13,0.00115679908110755,5
chr15,13641,83131963,83131965,0.954,0.729,4,4,0.0025649706811347,3
chr15,13642,83178072,83178074,0.681,0.942,9,13,0.000321398768737713,4
chr15,13644,83219614,83219616,0.607,0.374,21,66,0.0399344199420013,11
chr15,13647,83508017,83508019,0.706,0.909,14,26,0.0183312812018239,5
chr15,13649,83630290,83630292,0.536,0.743,5,15,0.00418606646429165,3
chr15,13652,84274123,84274125,0.618,0.828,10,13,0.00301964816960121,3
chr15,13653,84275010,84275012,0.553,0.823,10,17,0.00026642573224922,3
chr15,13654,84275566,84275568,0.577,0.824,4,11,0.000983777442917,3
chr15,13656,84327394,84327396,0.917,0.668,3,8,0.000769732073148677,3
chr15,13657,84387795,84387797,0.644,0.404,37,75,0.198975458220209,14
chr15,13658,84667357,84667359,0.515,0.716,19,28,0.0345449237728525,5
chr15,13659,85113736,85113738,0.912,0.703,11,12,0.00364876625689947,3
chr15,13662,85838300,85838302,0.9,0.712,10,16,0.000305298972062329,3
chr15,13666,85989298,85989300,0.605,0.845,30,64,0.05927589925202,12
chr15,13667,86010409,86010411,0.684,0.882,14,22,0.0175887759501069,6
chr15,13671,86241355,86241357,0.642,0.842,16,8,0.112744888325228,3
chr15,13672,86243684,86243686,0.614,0.36,27,45,0.482322105085968,10
chr15,13673,86309380,86309382,0.911,0.718,33,52,0.0134333985922133,8
chr15,13674,86416088,86416090,0.543,0.77,23,26,0.111452399622585,5
chr15,13675,86472091,86472093,0.503,0.755,13,33,0.148495605765518,5
chr15,13677,86489710,86489712,0.963,0.738,30,35,0.0320420126428899,11
chr15,13679,86517165,86517167,0.462,0.671,8,10,0.00718978409655435,3
chr15,13680,86924830,86924832,0.875,0.692,9,19,6.96583176917898e-06,3
chr15,13682,87075640,87075642,0.956,0.768,5,12,0.00117670383140955,4
chr15,13684,87237206,87237208,0.902,0.629,15,37,0.0839762851634689,6
chr15,13685,87238022,87238024,0.764,0.576,15,23,0.000165161950592574,5
chr15,13686,87576380,87576382,0.779,0.541,66,134,0.11931038768182,25
chr15,13687,87581451,87581453,0.798,0.568,19,41,0.113780333882992,11
chr15,13688,87602091,87602093,0.774,0.588,10,13,0.00426644622260086,3
chr15,13689,87658673,87658675,0.249,0.488,49,121,0.258330880735118,15
chr15,13690,87664262,87664264,0.589,0.394,12,35,0.0593821074365121,6
chr15,13691,87666554,87666556,0.964,0.735,19,45,0.00449797699514864,6
chr15,13692,87827653,87827655,0.689,0.461,37,79,0.0416735550935045,10
chr15,13693,87895003,87895005,0.874,0.633,42,48,0.000556592716915327,13
chr15,13694,88026296,88026298,0.829,0.647,9,13,0.00022241148573543,3
chr15,13695,88213999,88214001,0.809,0.583,20,37,0.0114032035380354,8
chr15,13696,88451440,88451442,0.5,0.752,55,99,0.124051873568571,21
chr15,13697,88560561,88560563,0.915,0.711,101,76,0.000803064347515536,13
chr15,13698,88609761,88609763,0.365,0.635,13,21,0.067151206838256,5
chr15,13700,88625523,88625525,0.402,0.186,13,15,0.00110105779543426,3
chr15,13701,88644083,88644085,0.827,0.624,16,29,0.00377645708055752,5
chr15,13705,88938758,88938760,0.835,0.62,67,127,0.00197755923780074,19
chr15,13706,88974754,88974756,0.872,0.641,20,50,0.0188564573049287,7
chr15,13707,89078257,89078259,0.889,0.605,13,12,0.0125565649797177,4
chr15,13714,89384470,89384472,0.92,0.697,33,45,0.074168212047201,8
chr15,13716,89430052,89430054,0.69,0.886,23,25,0.000428078260191089,3
chr15,13717,89453386,89453388,0.888,0.663,20,25,0.0105493179402413,6
chr15,13718,89579099,89579101,0.869,0.654,40,38,0.0016131779321984,8
chr15,13719,89579555,89579557,0.872,0.625,33,52,0.00479058649973652,10
chr15,13720,89666689,89666691,0.481,0.287,25,31,0.0881141848342968,9
chr15,13721,89734786,89734788,0.944,0.746,25,37,0.00276735482104506,7
chr15,13724,89842566,89842568,0.48,0.764,41,44,0.0220537706950739,13
chr15,13725,89843442,89843444,0.522,0.804,15,31,0.0202625106493678,5
chr15,13727,90158248,90158250,0.807,0.545,15,35,0.111000834843601,7
chr15,13728,90193572,90193574,0.651,0.918,16,44,0.286123177232193,8
chr15,13731,90434733,90434735,0.899,0.659,7,7,9.67710221677631e-05,3
chr15,13732,90711746,90711748,0.731,0.963,23,32,0.00192596905094999,9
chr15,13733,90740835,90740837,0.726,0.482,19,42,0.0331758177752787,10
chr15,13734,90997040,90997042,0.886,0.696,14,24,0.0054583899311258,7
chr15,13735,91166741,91166743,0.74,0.482,25,33,0.0186802449118394,10
chr15,13737,91249420,91249422,0.606,0.875,15,5,0.00384850918567536,5
chr15,13738,91249908,91249910,0.496,0.748,57,54,0.100071508935821,15
chr15,13739,91555979,91555981,0.649,0.846,7,11,0.000691812730059471,3
chr15,13746,91991618,91991620,0.624,0.937,4,20,6.80445155882836e-05,4
chr15,13749,92067793,92067795,0.986,0.307,7,7,0.000190542839179408,5
chr15,13754,92497794,92497796,0.907,0.723,8,12,0.00232804419131893,3
chr15,13755,92683523,92683525,0.947,0.758,11,24,0.0019066213558071,6
chr15,13762,93321709,93321711,0.489,0.81,6,5,0.000589593891962226,3
chr15,13767,93632700,93632702,0.669,0.413,6,15,0.110015258219398,4
chr15,13768,93635643,93635645,0.731,0.513,6,18,0.254817326870246,3
chr15,13770,93703440,93703442,0.543,0.742,18,12,0.00543803104476626,3
chr15,13772,94062597,94062599,0.625,0.844,12,7,0.00129310362360779,3
chr15,13773,94280945,94280947,0.706,0.912,7,17,0.0153582615181547,4
chr15,13774,94281928,94281930,0.646,0.875,10,16,0.0171627968576483,4
chr15,13775,94283321,94283323,0.58,0.807,7,9,0.0122058810068053,4
chr15,13779,95170735,95170737,0.892,0.693,10,16,0.00287311179745631,4
chr15,13780,95172487,95172489,0.892,0.688,6,15,0.00100466194172066,4
chr15,13788,95373443,95373445,0.662,0.868,5,11,0.00337897885148497,3
chr15,13789,95433668,95433670,0.864,0.659,11,11,0.00229457233886565,3
chr15,13793,95512413,95512415,0.868,0.634,5,14,0.204691799424823,5
chr15,13795,95661713,95661715,0.434,0.649,9,16,0.000365434772338413,5
chr15,13807,96161872,96161874,0.63,0.897,13,26,0.0107350454743349,4
chr15,13812,96279524,96279526,0.926,0.692,23,12,0.000461269308400292,6
chr15,13813,96280224,96280226,0.927,0.694,3,11,0.000167790378571953,3
chr15,13814,96856327,96856329,0.673,0.868,8,12,1.07493993414254e-05,3
chr15,13819,97035817,97035819,0.764,0.398,10,12,0.00172424046104508,4
chr15,13827,98128496,98128498,0.776,0.537,10,9,0.00303377879807776,5
chr15,13829,98186501,98186503,0.898,0.701,16,21,0.00227957403267154,5
chr15,13833,98360766,98360768,0.682,0.884,6,14,0.0130775670143289,4
chr15,13835,98421005,98421007,0.591,0.791,7,11,0.00723876104184973,4
chr15,13837,98471401,98471403,0.378,0.653,19,29,0.110503070865544,9
chr15,13838,98472680,98472682,0.39,0.595,33,67,0.0298663285569731,9
chr15,13841,99222667,99222669,0.933,0.744,4,7,0.000642082033220359,3
chr15,13842,99223605,99223607,0.958,0.754,10,20,0.000976779554155871,3
chr15,13844,99685957,99685959,0.907,0.691,30,60,0.014208033432048,15
chr15,13846,99836157,99836159,0.684,0.884,5,32,0.000142797239658599,3
chr15,13850,99935419,99935421,0.986,0.707,16,50,0.0645275860421662,6
chr15,13852,100153472,100153474,0.296,0.074,24,13,0.00024107481110347,6
chr15,13853,100176119,100176121,0.297,0.553,12,15,0.461016371158144,5
chr15,13854,100280247,100280249,0.473,0.854,3,8,0.0348155515381052,3
chr15,13855,100281729,100281731,0.37,0.682,24,36,0.324622596547266,8
chr15,13856,100283511,100283513,0.359,0.165,21,36,0.0600660306477116,4
chr15,13857,100456779,100456781,0.636,0.892,7,13,0.00149978619210345,3
chr15,13862,100746848,100746850,0.839,0.647,5,25,0.00920840998344918,3
chr15,13866,100904338,100904340,0.769,0.531,18,26,0.0136461613355098,6
chr15,13867,101048962,101048964,0.846,0.651,27,34,0.0442388679081177,7
chr15,13868,101286572,101286574,0.646,0.341,3,7,0.0191808140280186,3
chr15,13869,101429441,101429443,0.843,0.624,10,12,0.006555792350036,5
chr15,13871,101654745,101654747,0.779,0.484,21,23,0.0191329899814962,6
chr15,13874,101780425,101780427,0.943,0.728,19,40,0.00383640348484404,8
chr15,13875,102368406,102368408,0.994,0.748,14,12,0.00973351165659031,5
chr15,13877,102762698,102762700,0.938,0.741,11,14,0.000351731988678772,3
chr15,13879,102763350,102763352,0.949,0.759,7,18,0.000335092691804428,3
chr15,13880,102892036,102892038,0.911,0.721,6,19,0.00067275971129499,3
chr15,13881,103002714,103002716,0.497,0.737,26,30,0.00671312351963005,6
chr15,13882,103088615,103088617,0.619,0.84,12,33,0.247794326967005,5
chr15,13885,103154906,103154908,0.423,0.631,35,59,0.154494771914356,15
chr15,13886,103195855,103195857,0.207,0.637,9,24,0.0781907840955692,4
chr15,13888,103202344,103202346,0.463,0.659,10,29,0.0716852258884645,4
chr15,13889,103360602,103360604,0.308,0.57,19,22,0.0264436730114217,4
chr15,13890,103361319,103361321,0.362,0.807,92,93,0.153690205256513,20
chr15,13891,103389278,103389280,0.646,0.891,30,78,0.010610183114623,10
chr15,13892,103432341,103432343,0.175,0.372,44,57,0.0279110695097635,6
chr15,13893,103604010,103604012,0.97,0.775,7,14,0.00206215788051234,3
chr15,13894,103651412,103651414,0.723,0.464,38,49,0.474025894118922,13
chr15,13895,103685321,103685323,0.561,0.799,18,39,0.284829735613225,6
chr15,13896,103694570,103694572,0.859,0.643,44,43,0.00808500278295865,11
chr15,13897,103754412,103754414,0.386,0.597,21,36,0.419049922051118,7
chr15,13899,103787339,103787341,0.904,0.706,37,56,0.00206501496396527,10
chr15,13900,103799394,103799396,0.61,0.917,23,62,0.0027402799576165,9
