#rn6.ensGene.name	rn6.ensGene.chrom	rn6.ensGene.strand	rn6.ensGene.txStart	rn6.ensGene.txEnd	rn6.ensGene.name2	rn6.ensemblToGeneName.value
ENSRNOT00000065426.3	chr3	+	61620191	61622359	ENSRNOG00000001580.6	Hoxd9
ENSRNOT00000078456.1	chr3	-	61623166	61623303	ENSRNOG00000057935.1	AABR07052557.2
ENSRNOT00000067861.3	chr3	+	61627382	61628628	ENSRNOG00000042480.3	Hoxd8
ENSRNOT00000002145.6	chr3	+	61634004	61651056	ENSRNOG00000001578.6	Hoxd4
ENSRNOT00000086887.1	chr3	-	61635678	61636038	ENSRNOG00000053144.1	AABR07052559.1
ENSRNOT00000053677.1	chr3	+	61647977	61648086	ENSRNOG00000035554.1	Mir10b
ENSRNOT00000033511.5	chr3	+	61658244	61670282	ENSRNOG00000001577.6	Hoxd3
ENSRNOT00000078427.1	chr3	-	61672491	61672833	ENSRNOG00000055150.1	AABR07052559.2
ENSRNOT00000002140.4	chr3	+	61685618	61687758	ENSRNOG00000001572.4	Hoxd1
ENSRNOT00000002134.5	chr3	+	61756147	61818998	ENSRNOG00000001559.5	Mtx2
ENSRNOT00000091684.1	chr3	+	61967526	61967933	ENSRNOG00000051523.1	AABR07052568.1
ENSRNOT00000085572.1	chr3	+	62279449	62283093	ENSRNOG00000061268.1	AABR07072876.2
ENSRNOT00000082826.1	chr3	-	62288722	62316530	ENSRNOG00000052074.1	AABR07072876.1
ENSRNOT00000091656.1	chr3	+	62481248	62481322	ENSRNOG00000058977.1	AC109877.1
ENSRNOT00000078872.1	chr3	+	62481322	62487227	ENSRNOG00000052968.1	Hnrnpa3
ENSRNOT00000092210.1	chr3	-	62621601	62622750	ENSRNOG00000057884.1	AABR07052573.1
ENSRNOT00000050515.2	chr3	-	62758757	62761325	ENSRNOG00000059460.1	Ttc30b
ENSRNOT00000013565.4	chr3	-	62800934	62803373	ENSRNOG00000052519.1	Ttc30a1
ENSRNOT00000077654.1	chr3	-	63024680	63024919	ENSRNOG00000052791.1	SCARNA6
ENSRNOT00000008371.3	chr3	-	63204773	63211842	ENSRNOG00000024457.6	Cyct
ENSRNOT00000042968.2	chr3	+	63220646	63235648	ENSRNOG00000010595.5	Rbm45
ENSRNOT00000015624.6	chr3	-	63489073	63507926	ENSRNOG00000011195.6	Prkra
ENSRNOT00000058093.4	chr3	+	63510292	63518147	ENSRNOG00000038165.4	Dfnb59
ENSRNOT00000075672.1	chr3	+	63519504	63519561	ENSRNOG00000050734.1	AABR07052585.3
ENSRNOT00000015722.7	chr3	-	63522402	63535991	ENSRNOG00000011758.7	Fkbp7
ENSRNOT00000016132.5	chr3	+	63536165	63557361	ENSRNOG00000011830.5	Plekha3
ENSRNOT00000068494.2	chr3	-	63566183	63568464	ENSRNOG00000023227.4	AABR07052585.2
ENSRNOT00000080016.1	chr3	-	63929824	63929904	ENSRNOG00000061162.1	AABR07052587.4
ENSRNOT00000087590.1	chr3	-	64075738	64075844	ENSRNOG00000058044.1	U6
ENSRNOT00000078374.1	chr3	+	64154698	64155801	ENSRNOG00000053470.1	AABR07052587.3
ENSRNOT00000087843.1	chr3	+	64180451	64182546	ENSRNOG00000053364.1	AABR07052587.2
ENSRNOT00000011342.5	chr3	+	64190972	64191878	ENSRNOG00000031935.6	AABR07052587.1
ENSRNOT00000067452.2	chr3	-	64554632	64554953	ENSRNOG00000042321.2	LOC102553814
ENSRNOT00000081267.1	chr3	+	64853093	64856340	ENSRNOG00000054867.1	AABR07052589.1
ENSRNOT00000081155.1	chr3	-	65027148	65028895	ENSRNOG00000055544.1	AABR07052598.1
ENSRNOT00000057901.2	chr3	+	65672057	65673454	ENSRNOG00000038050.2	RGD1564319
ENSRNOT00000006429.7	chr3	+	65815079	65871363	ENSRNOG00000004544.7	Ube2e3
ENSRNOT00000079672.1	chr3	+	65816568	65870698	ENSRNOG00000004544.7	Ube2e3
ENSRNOT00000053043.1	chr3	+	66007446	66007559	ENSRNOG00000034920.1	5S_rRNA
ENSRNOT00000091668.1	chr3	-	66074957	66080178	ENSRNOG00000052515.1	AABR07052610.1
ENSRNOT00000006880.6	chr3	+	66193058	66263960	ENSRNOG00000004861.7	Itga4
ENSRNOT00000086517.1	chr3	+	66268949	66269163	ENSRNOG00000055689.1	AABR07052611.1
ENSRNOT00000079887.1	chr3	-	66274626	66279155	ENSRNOG00000030212.6	Cerkl
ENSRNOT00000086837.1	chr3	+	66285367	66285469	ENSRNOG00000060959.1	U6
ENSRNOT00000077283.1	chr3	+	66295920	66296626	ENSRNOG00000055145.1	Rn60_3_0729.2
ENSRNOT00000086267.1	chr3	-	66403183	66436668	ENSRNOG00000060951.1	Rn60_3_0730.2
ENSRNOT00000007662.7	chr3	-	66414307	66417741	ENSRNOG00000005609.7	Neurod1
ENSRNOT00000086507.1	chr3	-	66414317	66417611	ENSRNOG00000005609.7	Neurod1
ENSRNOT00000008046.6	chr3	+	66593933	66631723	ENSRNOG00000005865.7	Ssfa2
ENSRNOT00000090066.1	chr3	+	67414299	67416305	ENSRNOG00000057160.1	AABR07052639.1
ENSRNOT00000009839.4	chr3	+	67538288	67578306	ENSRNOG00000006803.5	Dnajc10
ENSRNOT00000010247.5	chr3	-	67635606	67668772	ENSRNOG00000007765.5	Frzb
ENSRNOT00000089225.1	chr3	+	67676280	67683488	ENSRNOG00000056573.1	AABR07052643.1
ENSRNOT00000080343.1	chr3	+	67778546	67778648	ENSRNOG00000059232.1	U6
ENSRNOT00000057826.2	chr3	+	67849965	67862475	ENSRNOG00000008868.4	Dusp19
ENSRNOT00000091115.1	chr3	-	68304755	68310230	ENSRNOG00000053741.1	AABR07052664.1
ENSRNOT00000091511.1	chr3	+	68562417	68597852	ENSRNOG00000054083.1	AABR07052666.1
ENSRNOT00000086000.1	chr3	-	69246492	69267797	ENSRNOG00000060480.1	AABR07052686.1
ENSRNOT00000087442.1	chr3	+	69354892	69359530	ENSRNOG00000060563.1	AABR07052689.1
ENSRNOT00000043974.5	chr3	+	69549672	69573420	ENSRNOG00000038004.4	Zfp804a
ENSRNOT00000074765.1	chr3	-	69636993	69637377	ENSRNOG00000047487.1	AABR07052692.1
ENSRNOT00000076015.2	chr3	+	70285218	70356568	ENSRNOG00000051199.2	Fsip2
ENSRNOT00000089165.1	chr3	+	70327192	70356502	ENSRNOG00000051199.2	Fsip2
ENSRNOT00000083616.1	chr3	+	70717002	70717109	ENSRNOG00000055388.1	U6
ENSRNOT00000081350.1	chr3	+	70877731	70877861	ENSRNOG00000054178.1	SNORA17
ENSRNOT00000078440.1	chr3	-	71012275	71012860	ENSRNOG00000058982.1	AABR07052729.1
ENSRNOT00000007276.5	chr3	+	71020533	71040157	ENSRNOG00000005256.5	Zc3h15
ENSRNOT00000086513.1	chr3	-	71097627	71099384	ENSRNOG00000053273.1	AABR07052730.2
ENSRNOT00000085553.1	chr3	-	71107897	71109960	ENSRNOG00000060414.1	AABR07052730.3
ENSRNOT00000006504.5	chr3	+	71210300	71262615	ENSRNOG00000004783.5	Fam171b
ENSRNOT00000083015.1	chr3	-	71274336	71295629	ENSRNOG00000032579.3	Zswim2
ENSRNOT00000040303.3	chr3	-	71274463	71295575	ENSRNOG00000032579.3	Zswim2
ENSRNOT00000046112.1	chr3	+	71437240	71450807	ENSRNOG00000029652.1	LOC499823
ENSRNOT00000086859.1	chr3	+	71664594	71666785	ENSRNOG00000060342.1	AABR07052750.1
ENSRNOT00000088170.1	chr3	-	71747955	71798531	ENSRNOG00000054695.1	Calcrl
ENSRNOT00000006787.7	chr3	-	71852743	71893600	ENSRNOG00000005039.8	Tfpi
ENSRNOT00000057685.4	chr3	-	71859981	71893618	ENSRNOG00000005039.8	Tfpi
ENSRNOT00000087872.1	chr3	-	71933659	71935381	ENSRNOG00000060062.1	AABR07072881.1
ENSRNOT00000080439.1	chr3	+	71944976	71953044	ENSRNOG00000060591.1	AABR07052750.2
ENSRNOT00000081400.1	chr3	-	72002151	72053049	ENSRNOG00000030790.5	Ctnnd1
ENSRNOT00000064009.1	chr3	-	72002443	72052990	ENSRNOG00000030790.5	Ctnnd1
ENSRNOT00000066606.1	chr3	+	72063503	72069534	ENSRNOG00000043106.1	Btbd18
ENSRNOT00000082857.1	chr3	-	72070389	72071895	ENSRNOG00000054563.1	RGD1563348
ENSRNOT00000007914.4	chr3	-	72073430	72081079	ENSRNOG00000005308.4	Tmx2
ENSRNOT00000009708.5	chr3	-	72091314	72113680	ENSRNOG00000006832.6	Zdhhc5
ENSRNOT00000009726.5	chr3	-	72125272	72128973	ENSRNOG00000007416.5	Clp1
ENSRNOT00000083592.1	chr3	+	72134730	72141035	ENSRNOG00000060130.1	Ypel4
ENSRNOT00000053693.1	chr3	-	72141036	72141124	ENSRNOG00000035570.1	Mir130a
ENSRNOT00000072811.1	chr3	+	72154048	72154124	ENSRNOG00000045557.1	AC096003.1
ENSRNOT00000086328.1	chr3	-	72157128	72157235	ENSRNOG00000059349.1	U6
ENSRNOT00000009817.4	chr3	-	72161188	72171078	ENSRNOG00000007457.4	Serping1
ENSRNOT00000044319.4	chr3	+	72191532	72206188	ENSRNOG00000030467.4	Ube2l6
ENSRNOT00000009903.7	chr3	-	72207112	72219246	ENSRNOG00000007516.7	Smtnl1
ENSRNOT00000010619.4	chr3	+	72226612	72230084	ENSRNOG00000007883.4	Timm10
ENSRNOT00000011006.7	chr3	+	72238980	72264466	ENSRNOG00000008243.7	Slc43a1
ENSRNOT00000038250.1	chr3	-	72273423	72289310	ENSRNOG00000021513.1	Rtn4rl2
ENSRNOT00000090256.1	chr3	+	72329966	72351111	ENSRNOG00000061768.1	Slc43a3
ENSRNOT00000011168.3	chr3	+	72385665	72389276	ENSRNOG00000008394.3	Prg2
ENSRNOT00000057616.3	chr3	+	72395217	72401318	ENSRNOG00000037908.3	Prg3
ENSRNOT00000083575.1	chr3	-	72403233	72403536	ENSRNOG00000059430.1	AC108295.1
ENSRNOT00000033427.6	chr3	-	72403992	72445775	ENSRNOG00000008552.6	P2rx3
ENSRNOT00000077573.1	chr3	-	72403992	72445775	ENSRNOG00000008552.6	P2rx3
ENSRNOT00000088815.1	chr3	-	72405836	72447801	ENSRNOG00000008552.6	P2rx3
ENSRNOT00000091901.1	chr3	+	72447536	72457649	ENSRNOG00000008825.6	Ssrp1
ENSRNOT00000012022.4	chr3	+	72447968	72457615	ENSRNOG00000008825.6	Ssrp1
ENSRNOT00000012379.4	chr3	+	72540537	72544182	ENSRNOG00000009227.4	Aplnr
ENSRNOT00000031745.4	chr3	-	72589841	72602548	ENSRNOG00000028266.4	Lrrc55
ENSRNOT00000040012.1	chr3	-	72739589	72740519	ENSRNOG00000032273.1	Olr436
ENSRNOT00000043742.1	chr3	-	72768982	72769912	ENSRNOG00000029640.1	Olr439
ENSRNOT00000012416.4	chr3	-	72786380	72787325	ENSRNOG00000009376.4	AABR07052753.1
ENSRNOT00000048581.1	chr3	-	72807480	72808425	ENSRNOG00000034115.1	Olr441
ENSRNOT00000041926.1	chr3	-	72817895	72818843	ENSRNOG00000033543.1	Olr442
ENSRNOT00000088915.1	chr3	-	72844443	72845605	ENSRNOG00000059701.1	AC110403.1
ENSRNOT00000077267.1	chr3	-	72885407	72885539	ENSRNOG00000060569.1	SNORA55
ENSRNOT00000072310.1	chr3	+	72974273	72975218	ENSRNOG00000050082.1	LOC100912339
ENSRNOT00000091920.1	chr3	+	72990357	72991302	ENSRNOG00000053361.1	Olr444
ENSRNOT00000072510.1	chr3	+	72997804	72998749	ENSRNOG00000049448.1	Olr445
ENSRNOT00000071646.1	chr3	+	73003105	73004140	ENSRNOG00000046122.1	Olr446
ENSRNOT00000051010.1	chr3	+	73010785	73011730	ENSRNOG00000048739.1	Olr447
ENSRNOT00000012629.2	chr3	-	73039092	73040049	ENSRNOG00000009526.2	Olr448
ENSRNOT00000048041.2	chr3	-	73048312	73049251	ENSRNOG00000029578.2	Olr458
ENSRNOT00000072178.2	chr3	+	73064091	73064994	ENSRNOG00000049125.2	LOC684539
ENSRNOT00000084321.1	chr3	+	73089268	73090213	ENSRNOG00000055374.1	Olr453
ENSRNOT00000090772.1	chr3	+	73115051	73115987	ENSRNOG00000056255.1	Olr454
ENSRNOT00000012711.2	chr3	-	73123708	73124644	ENSRNOG00000009586.2	Olr455
ENSRNOT00000092148.1	chr3	+	73138228	73139143	ENSRNOG00000061609.1	Olr456
ENSRNOT00000077865.1	chr3	+	73161631	73162570	ENSRNOG00000058782.1	Olr458
ENSRNOT00000043965.1	chr3	-	73177655	73178585	ENSRNOG00000030662.1	Olr459
ENSRNOT00000079401.1	chr3	+	73204445	73205381	ENSRNOG00000051828.1	Olr461
ENSRNOT00000012746.4	chr3	-	73225694	73226627	ENSRNOG00000009624.4	Olr462
ENSRNOT00000082357.1	chr3	+	73235593	73236547	ENSRNOG00000060217.1	Olr463
ENSRNOT00000083865.1	chr3	+	73249709	73250663	ENSRNOG00000051431.1	Olr464
ENSRNOT00000084229.1	chr3	+	73254545	73255493	ENSRNOG00000058567.1	Olr465
ENSRNOT00000077607.1	chr3	+	73274421	73275357	ENSRNOG00000060260.1	Olr466
ENSRNOT00000012787.2	chr3	-	73283705	73284667	ENSRNOG00000009648.2	AABR07052755.1
ENSRNOT00000085420.1	chr3	+	73302570	73303509	ENSRNOG00000056132.1	Olr468
ENSRNOT00000051690.3	chr3	+	73307899	73308823	ENSRNOG00000031426.3	Olr469
ENSRNOT00000071299.2	chr3	+	73327827	73328805	ENSRNOG00000049901.2	LOC684683
ENSRNOT00000042537.1	chr3	+	73335148	73336123	ENSRNOG00000033994.1	LOC684683
ENSRNOT00000045693.2	chr3	+	73344446	73345385	ENSRNOG00000031124.2	Olr471
ENSRNOT00000012814.4	chr3	+	73352351	73353335	ENSRNOG00000009670.4	Olr472
ENSRNOT00000044979.1	chr3	+	73366154	73367087	ENSRNOG00000033395.1	Olr473
ENSRNOT00000052240.1	chr3	+	73390267	73391200	ENSRNOG00000030468.1	Olr475
ENSRNOT00000040714.1	chr3	+	73425800	73426760	ENSRNOG00000031811.1	Olr477
ENSRNOT00000043221.2	chr3	-	73437891	73438829	ENSRNOG00000032597.2	AABR07052755.2
ENSRNOT00000012872.5	chr3	-	73455630	73456572	ENSRNOG00000049794.1	Olr479
ENSRNOT00000049630.3	chr3	-	73474666	73475608	ENSRNOG00000050467.1	Olr480
ENSRNOT00000040041.1	chr3	-	73483731	73484676	ENSRNOG00000031051.1	Olr481
ENSRNOT00000071782.2	chr3	-	73492676	73493621	ENSRNOG00000049721.2	Olr482
ENSRNOT00000072248.1	chr3	-	73509055	73510015	ENSRNOG00000049332.1	LOC100912431
ENSRNOT00000012959.3	chr3	-	73522095	73523043	ENSRNOG00000045807.1	Olr484
ENSRNOT00000012912.2	chr3	-	73542137	73543088	ENSRNOG00000009747.2	Olr485
ENSRNOT00000052306.1	chr3	-	73560663	73561623	ENSRNOG00000029884.1	Olr486
ENSRNOT00000012929.2	chr3	-	73579667	73580594	ENSRNOG00000009764.2	Olr488
ENSRNOT00000075227.2	chr3	-	73623577	73624519	ENSRNOG00000053834.1	Olr490
ENSRNOT00000074870.2	chr3	-	73635603	73636542	ENSRNOG00000054293.1	LOC100909831
ENSRNOT00000073787.2	chr3	-	73652641	73653583	ENSRNOG00000053241.1	LOC100909900
ENSRNOT00000080395.1	chr3	-	73668051	73668999	ENSRNOG00000053249.1	LOC100909940
ENSRNOT00000084063.1	chr3	-	73676461	73677403	ENSRNOG00000052339.1	LOC100912505
ENSRNOT00000047131.3	chr3	-	73716799	73717741	ENSRNOG00000055159.1	AC139873.3
ENSRNOT00000084704.1	chr3	-	73735317	73736271	ENSRNOG00000056110.1	Olr500
ENSRNOT00000078792.1	chr3	-	73742946	73743886	ENSRNOG00000053098.1	AC139873.2
ENSRNOT00000083628.1	chr3	-	73754568	73755510	ENSRNOG00000052035.1	Olr502
ENSRNOT00000079710.1	chr3	-	73779040	73779982	ENSRNOG00000053395.1	Olr505
ENSRNOT00000090035.1	chr3	-	73800529	73801471	ENSRNOG00000055270.1	Olr507
ENSRNOT00000080756.1	chr3	-	73838585	73839527	ENSRNOG00000053924.1	Olr508
ENSRNOT00000051169.4	chr3	-	73853421	73854363	ENSRNOG00000052104.1	Olfr1085
ENSRNOT00000090000.1	chr3	-	73878714	73879647	ENSRNOG00000052014.1	Olr510
ENSRNOT00000091724.1	chr3	-	73896427	73896559	ENSRNOG00000061643.1	AC139873.4
ENSRNOT00000013038.4	chr3	-	73933272	73934208	ENSRNOG00000045634.2	Olr496
ENSRNOT00000040055.1	chr3	-	73949651	73950593	ENSRNOG00000046997.1	Olr514
ENSRNOT00000050404.3	chr3	+	73988944	73989910	ENSRNOG00000032722.3	Olr515
ENSRNOT00000073426.1	chr3	-	74013859	74014795	ENSRNOG00000049954.1	Olr516
ENSRNOT00000046947.1	chr3	+	74058254	74059247	ENSRNOG00000032434.1	Olr517
ENSRNOT00000088478.1	chr3	-	74226406	74229066	ENSRNOG00000059883.1	AABR07052758.1
ENSRNOT00000079460.1	chr3	-	74226406	74229066	ENSRNOG00000059883.1	AABR07052758.1
ENSRNOT00000047747.1	chr3	-	74255119	74256067	ENSRNOG00000049234.1	Olr522
ENSRNOT00000071292.2	chr3	+	74318430	74319357	ENSRNOG00000048599.2	AABR07052762.1
ENSRNOT00000013060.2	chr3	-	74341750	74342719	ENSRNOG00000009852.2	Olr519
ENSRNOT00000077716.1	chr3	+	74347708	74347815	ENSRNOG00000060058.1	U6
ENSRNOT00000041668.2	chr3	-	74370434	74371385	ENSRNOG00000029222.2	Olr518
ENSRNOT00000045439.1	chr3	+	74411667	74412633	ENSRNOG00000050654.1	Olr526
ENSRNOT00000043964.1	chr3	-	74447331	74448279	ENSRNOG00000050009.1	Olr527
ENSRNOT00000013150.4	chr3	-	74474560	74475502	ENSRNOG00000061596.1	Olr528
ENSRNOT00000057508.3	chr3	-	74502161	74503106	ENSRNOG00000054730.1	Olr529
ENSRNOT00000051533.2	chr3	+	74523697	74524663	ENSRNOG00000045546.1	Olr530
ENSRNOT00000090836.1	chr3	-	74544296	74545241	ENSRNOG00000057929.1	Olr531
ENSRNOT00000068048.3	chr3	-	74566719	74567685	ENSRNOG00000055669.1	AABR07052768.2
ENSRNOT00000045231.1	chr3	-	74574074	74575010	ENSRNOG00000030825.1	Olr533
ENSRNOT00000013190.6	chr3	+	74585155	74586083	ENSRNOG00000009952.6	AABR07052768.1
ENSRNOT00000065152.1	chr3	-	74589517	74590459	ENSRNOG00000050080.1	Olr535
ENSRNOT00000013201.5	chr3	-	74596460	74597393	ENSRNOG00000009943.5	Olr536
ENSRNOT00000047002.1	chr3	-	74606120	74607059	ENSRNOG00000034047.1	Olr537
ENSRNOT00000013215.2	chr3	-	74630944	74631883	ENSRNOG00000009969.2	Olr539
ENSRNOT00000048376.1	chr3	-	74669453	74670392	ENSRNOG00000048820.1	Olr540
ENSRNOT00000041127.3	chr3	-	74700773	74701712	ENSRNOG00000049276.1	Olr541
ENSRNOT00000080107.1	chr3	-	74710688	74710795	ENSRNOG00000059849.1	U6
ENSRNOT00000012938.2	chr3	-	74737424	74738366	ENSRNOG00000009770.2	LOC100909796
ENSRNOT00000046197.3	chr3	-	74749021	74749960	ENSRNOG00000059263.1	LOC100909831
ENSRNOT00000086709.1	chr3	-	74766059	74767001	ENSRNOG00000061753.1	LOC100909900
ENSRNOT00000080494.1	chr3	-	74781469	74782417	ENSRNOG00000061224.1	LOC100909940
ENSRNOT00000045888.3	chr3	-	74789880	74790822	ENSRNOG00000032730.3	Olr493
ENSRNOT00000045173.1	chr3	-	74814567	74815509	ENSRNOG00000047474.1	LOC100912540
ENSRNOT00000051625.3	chr3	-	74867636	74868575	ENSRNOG00000031356.3	Olr544
ENSRNOT00000071001.1	chr3	-	74906023	74906989	ENSRNOG00000045694.1	LOC100910921
ENSRNOT00000078527.1	chr3	+	74925907	74926009	ENSRNOG00000059164.1	U6
ENSRNOT00000049273.1	chr3	-	74990229	74991168	ENSRNOG00000050825.1	Olr551
ENSRNOT00000051768.2	chr3	-	74997157	74998096	ENSRNOG00000048383.1	Olr550
ENSRNOT00000070799.1	chr3	-	75019393	75020331	ENSRNOG00000046960.1	AABR07052780.1
ENSRNOT00000089892.1	chr3	+	75024205	75024479	ENSRNOG00000052180.1	Metazoa_SRP
ENSRNOT00000073265.1	chr3	+	75024347	75024432	ENSRNOG00000048569.1	AABR07052780.2
ENSRNOT00000046167.1	chr3	-	75088125	75089064	ENSRNOG00000050876.1	Olr542
ENSRNOT00000082111.1	chr3	+	75122415	75122517	ENSRNOG00000057984.1	U6
ENSRNOT00000072853.1	chr3	-	75167455	75168421	ENSRNOG00000049438.1	LOC100910921
ENSRNOT00000046809.1	chr3	-	75184078	75185017	ENSRNOG00000047728.1	Olr546
ENSRNOT00000078139.1	chr3	-	75235848	75239781	ENSRNOG00000058334.1	AABR07052788.1
ENSRNOT00000013319.3	chr3	+	75265524	75266475	ENSRNOG00000010035.3	Olr554
ENSRNOT00000013328.2	chr3	+	75299282	75300263	ENSRNOG00000010052.2	Olr555
ENSRNOT00000066249.1	chr3	+	75322883	75323807	ENSRNOG00000043492.1	Olr556
ENSRNOT00000050634.3	chr3	+	75354236	75355259	ENSRNOG00000031264.3	Olr557
ENSRNOT00000071725.1	chr3	+	75379450	75380371	ENSRNOG00000048361.1	Olr558
ENSRNOT00000037577.2	chr3	+	75390029	75390974	ENSRNOG00000045869.1	Olr559
ENSRNOT00000057483.1	chr3	+	75412371	75413352	ENSRNOG00000037837.1	Olr560
ENSRNOT00000013395.2	chr3	+	75414255	75415356	ENSRNOG00000010101.2	AC118490.1
ENSRNOT00000042246.2	chr3	+	75437832	75438804	ENSRNOG00000033422.2	Olr561
ENSRNOT00000057479.1	chr3	+	75465398	75466355	ENSRNOG00000037834.1	Olr562
ENSRNOT00000057478.1	chr3	+	75477978	75478923	ENSRNOG00000037833.1	Olr563
ENSRNOT00000079476.1	chr3	+	75518279	75519224	ENSRNOG00000053263.1	Olr566
ENSRNOT00000039101.4	chr3	-	75545522	75548483	ENSRNOG00000021949.5	Pramel7
ENSRNOT00000035844.4	chr3	+	75559774	75563247	ENSRNOG00000021920.4	Pramel6
ENSRNOT00000083330.1	chr3	-	75575252	75576520	ENSRNOG00000060426.1	Olr567
ENSRNOT00000079367.1	chr3	+	75582316	75583246	ENSRNOG00000059247.1	Olr569
ENSRNOT00000013518.2	chr3	-	75638246	75639183	ENSRNOG00000010179.2	AABR07052795.1
ENSRNOT00000079310.1	chr3	+	75643053	75644954	ENSRNOG00000053452.1	Potef
ENSRNOT00000072598.1	chr3	+	75643928	75644012	ENSRNOG00000046880.1	AABR07052795.2
ENSRNOT00000071113.1	chr3	-	75682027	75682965	ENSRNOG00000047530.1	AABR07052795.3
ENSRNOT00000049264.1	chr3	+	75712482	75713412	ENSRNOG00000046025.1	Olr575
ENSRNOT00000071529.1	chr3	-	75719205	75720299	ENSRNOG00000047926.1	Olr576
ENSRNOT00000033519.3	chr3	-	75733031	75733970	ENSRNOG00000021658.3	Olr577
ENSRNOT00000042725.1	chr3	-	75751568	75752501	ENSRNOG00000050566.1	Olr578
ENSRNOT00000071912.2	chr3	+	75768698	75769743	ENSRNOG00000046348.2	AABR07052798.1
ENSRNOT00000007665.3	chr3	+	75771588	75772521	ENSRNOG00000046501.1	Olr569
ENSRNOT00000047083.1	chr3	+	75793301	75794209	ENSRNOG00000030827.1	AC111632.1
ENSRNOT00000049950.3	chr3	+	75809444	75810383	ENSRNOG00000046632.1	Olr581
ENSRNOT00000043371.1	chr3	+	75834769	75835702	ENSRNOG00000046448.1	Olr582
ENSRNOT00000042996.1	chr3	+	75848903	75849836	ENSRNOG00000049657.1	Olr583
ENSRNOT00000007553.2	chr3	-	75878777	75879716	ENSRNOG00000005742.2	Olr584
ENSRNOT00000047110.3	chr3	+	75906944	75907880	ENSRNOG00000030946.3	Olr586
ENSRNOT00000073336.1	chr3	-	75922861	75923797	ENSRNOG00000050681.1	Olr587
ENSRNOT00000007603.5	chr3	+	75936794	75937739	ENSRNOG00000005793.5	Olr588
ENSRNOT00000073455.1	chr3	+	75957591	75958524	ENSRNOG00000049292.1	Olr590
ENSRNOT00000075834.1	chr3	+	75970592	75971528	ENSRNOG00000049572.1	Olr592
ENSRNOT00000091187.1	chr3	+	75987795	75988731	ENSRNOG00000058143.1	Olr594
ENSRNOT00000074642.2	chr3	+	75999480	76000386	ENSRNOG00000045792.2	Olr566
ENSRNOT00000085199.1	chr3	-	76007554	76012929	ENSRNOG00000056033.1	AC111632.2
ENSRNOT00000080503.1	chr3	+	76035197	76036564	ENSRNOG00000060685.1	Olr596
ENSRNOT00000049471.1	chr3	+	76044494	76045427	ENSRNOG00000032521.1	Olr597
ENSRNOT00000039963.2	chr3	+	76052229	76053162	ENSRNOG00000045832.1	Olr598
ENSRNOT00000007679.2	chr3	-	76085017	76085971	ENSRNOG00000005863.2	Olr601
ENSRNOT00000007690.4	chr3	-	76101843	76102782	ENSRNOG00000045865.1	LOC100365798
ENSRNOT00000071564.1	chr3	-	76113963	76114902	ENSRNOG00000050957.1	LOC102555599
ENSRNOT00000007712.3	chr3	-	76134518	76135475	ENSRNOG00000005880.3	Olr604
ENSRNOT00000007732.5	chr3	+	76154691	76155433	ENSRNOG00000005898.5	AC131848.1
ENSRNOT00000071281.1	chr3	+	76179213	76180140	ENSRNOG00000046185.1	LOC686677
ENSRNOT00000075650.2	chr3	-	76186103	76187045	ENSRNOG00000049888.2	LOC686683
ENSRNOT00000067444.2	chr3	+	76237606	76238548	ENSRNOG00000005921.4	LOC686641
ENSRNOT00000007782.2	chr3	-	76249889	76250840	ENSRNOG00000050737.1	Olr607
ENSRNOT00000072741.1	chr3	-	76255178	76256129	ENSRNOG00000047639.1	LOC100365887
ENSRNOT00000007796.2	chr3	-	76278123	76279104	ENSRNOG00000005950.2	Olr608
ENSRNOT00000051968.1	chr3	-	76288439	76289390	ENSRNOG00000050679.1	Olr609
ENSRNOT00000007835.3	chr3	-	76314457	76315403	ENSRNOG00000047074.1	AABR07052807.1
ENSRNOT00000047702.1	chr3	-	76345263	76346196	ENSRNOG00000045685.1	Olr613
ENSRNOT00000043599.1	chr3	-	76367958	76368909	ENSRNOG00000049509.1	Olr614
ENSRNOT00000037779.2	chr3	+	76468293	76469265	ENSRNOG00000021473.2	Olr619
ENSRNOT00000066227.2	chr3	-	76484414	76485302	ENSRNOG00000042248.2	AABR07052812.1
ENSRNOT00000044305.1	chr3	-	76495326	76496283	ENSRNOG00000032126.1	LOC100909611
ENSRNOT00000071021.1	chr3	-	76517764	76518601	ENSRNOG00000047555.1	Olr623
ENSRNOT00000090027.1	chr3	-	76575055	76575181	ENSRNOG00000059616.1	U6atac
ENSRNOT00000051292.1	chr3	-	76625669	76626605	ENSRNOG00000050217.1	Olr625
ENSRNOT00000044692.1	chr3	-	76695156	76696107	ENSRNOG00000047271.1	Olr629
ENSRNOT00000007890.2	chr3	-	76707491	76708430	ENSRNOG00000006024.2	Olr630
ENSRNOT00000050173.1	chr3	-	76717763	76718684	ENSRNOG00000032712.1	Olr631
ENSRNOT00000040604.3	chr3	+	76751602	76752514	ENSRNOG00000049129.1	Olr633
ENSRNOT00000047382.1	chr3	+	76768050	76768992	ENSRNOG00000045745.1	Olr634
ENSRNOT00000084374.1	chr3	+	76790185	76791115	ENSRNOG00000055872.1	Olr635
ENSRNOT00000085537.1	chr3	+	76842897	76843839	ENSRNOG00000051516.1	Olr636
ENSRNOT00000088803.1	chr3	+	76862321	76863251	ENSRNOG00000056683.1	AC117012.1
ENSRNOT00000087552.1	chr3	+	76890791	76891733	ENSRNOG00000052168.1	Olr639
