chr	start	end	annotation	dist.to.tss	gene	name	hypo_in_female	logFC	FDR	gExp_up_in_female	epi_regulation
chr8	78276169	78276305	Intergenic	120886	ENSRNOT00000087270.1	Tcf12	TRUE	-4.327	0	TRUE	TRUE
chr8	78279987	78280349	Intergenic	116955	ENSRNOT00000087270.1	Tcf12	TRUE	-4.327	0	TRUE	TRUE
chr8	108886806	108887609	Intergenic	-70890	ENSRNOT00000066917.1	Stag1	TRUE	-6.234	0.009	TRUE	TRUE
chr8	115182636	115182875	intron	-3564	ENSRNOT00000017224.6	Parp3	TRUE	-2.035	0	TRUE	TRUE
chr9	9797364	9797815	Intergenic	76454	ENSRNOT00000075494.1	C3	FALSE	5.959	0.021	FALSE	TRUE
chr9	10390397	10391453	intron	80084	ENSRNOT00000072868.1	Safb	FALSE	0.486	0.027	FALSE	TRUE
chr9	10561084	10561838	Intergenic	-90452	ENSRNOT00000072868.1	Safb	FALSE	0.486	0.027	FALSE	TRUE
chr9	10562824	10564471	Intergenic	-92638	ENSRNOT00000072868.1	Safb	FALSE	0.486	0.027	FALSE	TRUE
chr9	10595080	10596566	Intergenic	-124814	ENSRNOT00000072868.1	Safb	FALSE	0.486	0.027	FALSE	TRUE
chr9	50597839	50598143	intron	-66157	ENSRNOT00000015393.5	Tpp2	FALSE	1.441	0.028	FALSE	TRUE
chr9	81616395	81616671	intron	98340	ENSRNOT00000019265.6	Arpc2	FALSE	0.358	0.012	FALSE	TRUE
chrX	63206643	63207205	Intergenic	84183	ENSRNOT00000092019.1	Eif2s3	TRUE	-0.669	0	TRUE	TRUE
chrX	63227464	63228293	Intergenic	63229	ENSRNOT00000092019.1	Eif2s3	TRUE	-0.669	0	TRUE	TRUE
chrX	63292798	63293699	promoter-TSS	-2141	ENSRNOT00000092019.1	Eif2s3	TRUE	-0.669	0	TRUE	TRUE
chrX	63346519	63346914	intron	-55609	ENSRNOT00000092019.1	Eif2s3	TRUE	-0.669	0	TRUE	TRUE
chrX	68628443	68628856	intron	1322	ENSRNOT00000008705.7	Yipf6	TRUE	-5.44	0.046	TRUE	TRUE
chrX	68716378	68717847	intron	89785	ENSRNOT00000008705.7	Yipf6	TRUE	-5.44	0.046	TRUE	TRUE
chrX	74260402	74261174	Intergenic	-43502	ENSRNOT00000057623.1	LOC680227	TRUE	-2.578	0	TRUE	TRUE
chrX	74386865	74387390	Intergenic	71279	ENSRNOT00000076538.1	LOC680227	TRUE	-4.732	0	TRUE	TRUE
chrX	138259578	138261241	Intergenic	-111442	ENSRNOT00000033968.7	Frmd7	TRUE	-7.946	0	TRUE	TRUE
chrX	138261813	138262259	Intergenic	-113069	ENSRNOT00000033968.7	Frmd7	TRUE	-7.946	0	TRUE	TRUE
chrX	138262843	138265277	Intergenic	-115093	ENSRNOT00000033968.7	Frmd7	TRUE	-7.946	0	TRUE	TRUE
