chr,bin,start,end,mean_female,mean_male,female_cov,male_cov,num_cpg
chr10,4355,13525296,13525298,0.437,0.714,35,72,9
chr10,4356,13785036,13785038,0.918,0.669,14,32,4
chr10,4358,13855434,13855436,0.282,0.496,16,79,5
chr10,4359,13913244,13913246,0.271,0.611,13,34,7
chr10,4361,14027947,14027949,0.698,0.459,19,27,5
chr10,4362,14034403,14034405,0.321,0.543,18,29,5
chr10,4365,14121811,14121813,0.546,0.331,25,42,5
chr10,4367,14175166,14175168,0.481,0.726,18,33,3
chr10,4368,14298312,14298314,0.639,0.332,7,8,4
chr10,4369,14300431,14300433,0.595,0.807,20,46,7
chr10,4370,14322492,14322494,0.314,0.074,7,60,3
chr10,4371,14371033,14371035,0.437,0.155,6,18,3
chr10,4377,14682496,14682498,0.689,0.455,20,61,6
chr10,4378,14782321,14782323,0.847,0.614,25,24,4
chr10,4379,14782817,14782819,0.834,0.536,24,99,8
chr10,4381,14832579,14832581,0.448,0.695,26,73,8
chr10,4382,14921714,14921716,0.236,0.684,26,65,7
chr10,4383,14932486,14932488,0.456,0.646,37,67,9
chr10,4384,14943954,14943956,0.196,0.437,19,56,5
chr10,4385,14996630,14996632,0.672,0.859,13,32,3
chr10,4387,15156179,15156181,0.259,0.562,29,67,8
chr10,4388,15163369,15163371,0.252,0.527,55,111,12
chr10,4389,15167998,15168000,0.667,0.43,11,26,5
chr10,4390,15171671,15171673,0.44,0.643,37,65,8
chr10,4391,15175301,15175303,0.479,0.773,28,41,5
chr10,4393,15242581,15242583,0.362,0.63,10,20,3
chr10,4395,15345135,15345137,0.465,0.733,14,36,3
chr10,4396,15523177,15523179,0.451,0.704,62,87,16
chr10,4398,15673465,15673467,0.276,0.495,19,41,4
chr10,4400,15696754,15696756,0.482,0.707,31,70,7
chr10,4401,15739227,15739229,0.467,0.681,30,75,10
chr10,4402,15751619,15751621,0.225,0.461,18,110,10
chr10,4403,15764735,15764737,0.76,0.534,9,6,3
chr10,4404,15765295,15765297,0.766,0.547,11,27,5
chr10,4405,15769610,15769612,0.637,0.826,10,15,3
chr10,4406,15908213,15908215,0.465,0.25,24,29,8
chr10,4409,16148162,16148164,0.847,0.636,26,33,4
chr10,4410,16158541,16158543,0.64,0.847,6,26,3
chr10,4412,16201766,16201768,0.552,0.769,21,58,7
chr10,4413,16219297,16219299,0.583,0.373,34,86,7
chr10,4414,16540563,16540565,0.649,0.413,17,53,6
chr10,4415,16544510,16544512,0.331,0.533,3,7,3
chr10,4417,16754374,16754376,0.672,0.862,17,31,4
chr10,4418,16916192,16916194,0.359,0.604,40,72,6
chr10,4419,16975019,16975021,0.404,0.196,15,54,6
chr10,4420,17060244,17060246,0.692,0.482,15,29,3
chr10,4421,17112367,17112369,0.836,0.627,12,34,7
chr10,4423,17179718,17179720,0.665,0.86,11,31,4
chr10,4424,17192198,17192200,0.554,0.75,35,55,8
chr10,4426,17509304,17509306,0.85,0.589,7,12,4
chr10,4427,17525309,17525311,0.646,0.285,17,32,4
chr10,4430,17619319,17619321,0.686,0.9,21,75,10
chr10,4431,17629061,17629063,0.687,0.891,7,11,4
chr10,4433,17668358,17668360,0.55,0.75,13,19,3
chr10,4434,17771340,17771342,0.854,0.624,21,43,5
chr10,4436,17880606,17880608,0.845,0.492,11,31,4
chr10,4437,18077555,18077557,0.34,0.548,33,50,9
chr10,4438,18105189,18105191,0.366,0.605,34,136,12
chr10,4439,18120655,18120657,0.536,0.31,20,40,6
chr10,4440,18161448,18161450,0.818,0.589,31,73,9
chr10,4441,18167404,18167406,0.66,0.873,19,35,5
chr10,4443,18333595,18333597,0.878,0.631,17,33,7
chr10,4445,18445629,18445631,0.572,0.966,10,9,5
chr10,4447,18468856,18468858,0.631,0.412,14,38,8
chr10,4448,18602430,18602432,0.593,0.86,27,72,11
chr10,4450,18612742,18612744,0.676,0.905,8,7,3
chr10,4451,18614584,18614586,0.472,0.227,14,30,5
chr10,4452,18615826,18615828,0.289,0.536,8,34,3
chr10,4453,18679825,18679827,0.934,0.713,38,97,12
chr10,4454,18765888,18765890,0.623,0.818,20,33,3
chr10,4455,18783689,18783691,0.613,0.41,9,22,5
chr10,4456,18948820,18948822,0.352,0.566,93,184,25
chr10,4459,19047419,19047421,0.69,0.9,29,68,9
chr10,4460,19092690,19092692,0.547,0.765,26,89,10
chr10,4461,19127708,19127710,0.648,0.843,30,71,8
chr10,4462,19306340,19306342,0.655,0.883,6,26,5
chr10,4463,19417531,19417533,0.886,0.667,19,40,4
chr10,4464,19487752,19487754,0.564,0.775,34,81,14
chr10,4466,19621601,19621603,0.664,0.9,16,15,3
chr10,4475,20048687,20048689,0.763,0.538,56,121,16
chr10,4476,20085570,20085572,0.592,0.833,44,124,15
chr10,4477,20177839,20177841,0.871,0.664,9,22,3
chr10,4478,20252670,20252672,0.75,0.513,25,116,11
chr10,4479,20312385,20312387,0.677,0.879,9,50,4
chr10,4480,20313075,20313077,0.712,0.905,19,42,4
chr10,4482,20326343,20326345,0.826,0.479,30,72,10
chr10,4483,20379692,20379694,0.59,0.827,31,77,11
chr10,4485,20488516,20488518,0.843,0.602,29,70,9
chr10,4486,20496988,20496990,0.683,0.914,4,10,3
chr10,4488,20498090,20498092,0.618,0.874,38,30,5
chr10,4490,20659582,20659584,0.669,0.883,8,7,4
chr10,4491,20720379,20720381,0.657,0.896,27,72,11
chr10,4493,20882616,20882618,0.399,0.664,36,66,6
chr10,4494,20957966,20957968,0.744,0.498,41,108,11
chr10,4497,21063538,21063540,0.704,0.497,87,136,14
chr10,4498,21127758,21127760,0.79,0.58,38,92,12
chr10,4499,21182584,21182586,0.45,0.701,60,196,21
chr10,4500,21236700,21236702,0.818,0.605,17,19,4
chr10,4501,21302113,21302115,0.736,0.531,31,113,13
chr10,4502,21312078,21312080,0.436,0.626,19,82,10
chr10,4504,21336372,21336374,0.451,0.696,38,67,14
chr10,4505,21511872,21511874,0.598,0.879,34,28,8
chr10,4506,21512474,21512476,0.568,0.88,11,18,6
chr10,4508,21528697,21528699,0.322,0.528,22,62,10
chr10,4510,21549544,21549546,0.352,0.564,22,65,7
chr10,4512,21749686,21749688,0.572,0.773,35,105,14
chr10,4513,21844970,21844972,0.639,0.841,34,56,6
chr10,4516,22005638,22005640,0.425,0.638,28,50,9
chr10,4517,22006710,22006712,0.357,0.561,43,67,10
chr10,4521,22130744,22130746,0.552,0.994,5,29,4
chr10,4522,22131181,22131183,0.549,0.994,5,9,3
chr10,4526,23308041,23308043,0.73,0.506,4,14,3
chr10,4528,23589199,23589201,0.904,0.685,8,21,3
chr10,4529,23658239,23658241,0.868,0.581,7,21,4
chr10,4530,23742555,23742557,0.491,0.705,18,42,5
chr10,4531,23785137,23785139,0.559,0.784,16,16,4
chr10,4532,23786095,23786097,0.537,0.32,12,23,5
chr10,4533,23787057,23787059,0.621,0.869,21,41,6
chr10,4534,23787944,23787946,0.691,0.913,8,13,3
chr10,4535,23807943,23807945,0.428,0.623,4,15,3
chr10,4536,23815765,23815767,0.601,0.814,59,189,21
chr10,4537,23823946,23823948,0.66,0.906,13,26,5
chr10,4538,23824733,23824735,0.456,0.828,52,94,22
chr10,4539,24051674,24051676,0.739,0.418,61,234,21
chr10,4541,24073970,24073972,0.349,0.54,12,25,4
chr10,4547,24800122,24800124,0.618,0.846,13,28,4
chr10,4551,24953132,24953134,0.536,0.861,6,12,3
chr10,4554,25237652,25237654,0.591,0.789,11,35,4
chr10,4555,25248581,25248583,0.776,0.963,9,30,3
chr10,4558,25782066,25782068,0.878,0.672,17,36,3
chr10,4560,25848494,25848496,0.765,0.446,4,12,4
chr10,4562,25911100,25911102,0.411,0.635,4,12,3
chr10,4563,25933183,25933185,0.609,0.828,25,59,7
chr10,4565,26069108,26069110,0.856,0.642,3,3,3
chr10,4566,26070448,26070450,0.878,0.624,7,14,3
chr10,4567,26074569,26074571,0.554,0.761,33,70,7
chr10,4569,26396761,26396763,0.971,0.743,10,38,5
chr10,4571,26702015,26702017,0.608,0.863,7,10,4
chr10,4575,27090750,27090752,0.783,0.527,6,17,4
chr10,4577,27177000,27177002,0.334,0.801,6,24,3
chr10,4578,27177583,27177585,0.177,0.438,5,23,5
chr10,4581,27515600,27515602,0.761,0.552,19,62,5
chr10,4582,27516446,27516448,0.778,0.513,12,11,5
chr10,4584,27725106,27725108,0.679,0.886,12,29,3
chr10,4585,27967152,27967154,0.646,0.866,14,42,9
chr10,4591,28289848,28289850,0.53,0.828,38,55,18
chr10,4597,28481978,28481980,0.742,0.946,21,32,6
chr10,4603,28675004,28675006,0.86,0.652,10,6,3
chr10,4604,28755855,28755857,0.616,0.859,4,28,3
chr10,4606,28936996,28936998,0.691,0.35,43,98,14
chr10,4607,28938815,28938817,0.565,0.783,37,71,11
chr10,4608,29010232,29010234,0.58,0.784,19,52,7
chr10,4611,29154803,29154805,0.908,0.694,6,17,4
chr10,4614,29392019,29392021,0.683,0.454,21,49,10
chr10,4615,29448236,29448238,0.678,0.916,10,35,3
chr10,4617,30026369,30026371,0.766,0.51,8,21,3
chr10,4620,30162655,30162657,0.536,0.776,32,83,11
chr10,4621,30203474,30203476,0.708,0.901,55,119,13
chr10,4623,30367423,30367425,0.518,0.768,13,6,4
chr10,4624,30590765,30590767,0.831,0.563,13,27,6
chr10,4626,30826536,30826538,0.676,0.879,6,20,3
chr10,4627,30951997,30951999,0.831,0.579,7,10,5
chr10,4628,30958859,30958861,0.721,0.909,15,32,5
chr10,4629,31008118,31008120,0.63,0.409,9,22,4
chr10,4630,31022805,31022807,0.552,0.764,24,53,4
chr10,4631,31137203,31137205,0.83,0.483,8,5,3
chr10,4632,31160249,31160251,0.408,0.614,6,15,3
chr10,4634,31162349,31162351,0.846,0.55,42,109,11
chr10,4635,31256551,31256553,0.382,0.578,16,25,4
chr10,4636,31286920,31286922,0.63,0.826,9,36,6
chr10,4637,31317874,31317876,0.535,0.725,12,40,6
chr10,4638,31339008,31339010,0.676,0.426,25,99,8
chr10,4640,31451385,31451387,0.685,0.878,29,74,7
chr10,4641,31464924,31464926,0.699,0.888,13,26,3
chr10,4644,32293092,32293094,0.864,0.645,12,40,4
chr10,4645,32293801,32293803,0.84,0.61,13,44,8
chr10,4646,32305849,32305851,0.796,0.551,18,50,10
chr10,4648,32659130,32659132,0.713,0.912,10,18,4
chr10,4649,33021708,33021710,0.869,0.66,14,33,6
chr10,4650,33022536,33022538,0.865,0.656,23,50,4
chr10,4652,33429661,33429663,0.821,0.598,10,33,4
chr10,4654,33869192,33869194,0.581,0.791,67,88,13
chr10,4655,33870937,33870939,0.6,0.805,9,30,4
chr10,4656,34124010,34124012,0.671,0.399,33,82,13
chr10,4659,34141234,34141236,0.599,0.353,14,36,7
chr10,4660,34150665,34150667,0.434,0.208,48,70,13
chr10,4664,34221728,34221730,0.484,0.281,9,28,4
chr10,4665,34223276,34223278,0.523,0.79,14,73,6
chr10,4666,34328756,34328758,0.846,0.623,19,42,8
chr10,4669,34525919,34525921,0.526,0.728,32,53,4
chr10,4670,34747680,34747682,0.883,0.615,10,24,5
chr10,4672,35077989,35077991,0.485,0.271,11,20,3
chr10,4673,35183064,35183066,0.407,0.659,20,33,7
chr10,4674,35222236,35222238,0.538,0.288,5,22,3
chr10,4675,35237444,35237446,0.657,0.858,25,57,7
chr10,4678,35638042,35638044,0.458,0.657,11,29,3
chr10,4679,35714930,35714932,0.434,0.704,10,16,4
chr10,4681,35835139,35835141,0.607,0.397,9,14,5
chr10,4682,35865117,35865119,0.538,0.833,49,125,13
chr10,4683,35866969,35866971,0.722,0.333,6,22,3
chr10,4684,35874536,35874538,0.325,0.511,15,36,4
chr10,4685,35951081,35951083,0.488,0.75,18,45,7
chr10,4686,35965514,35965516,0.418,0.656,29,76,10
chr10,4687,36016696,36016698,0.669,0.866,6,29,3
chr10,4690,36119158,36119160,0.864,0.639,61,123,16
chr10,4691,36171793,36171795,0.405,0.632,31,79,9
chr10,4692,36174250,36174252,0.795,0.586,29,64,6
chr10,4694,36337587,36337589,0.462,0.785,8,22,3
chr10,4695,36376075,36376077,0.274,0.63,9,16,4
chr10,4697,36610535,36610537,0.501,0.696,14,39,5
chr10,4699,36694149,36694151,0.908,0.699,7,10,3
chr10,4703,36761259,36761261,0.731,0.452,18,47,7
chr10,4705,36906752,36906754,0.465,0.667,13,59,5
chr10,4706,36934724,36934726,0.45,0.659,29,64,6
chr10,4708,37215283,37215285,0.623,0.315,11,20,4
chr10,4709,37267716,37267718,0.723,0.935,14,50,10
chr10,4714,37350909,37350911,0.6,0.791,23,61,7
chr10,4717,37422099,37422101,0.834,0.596,20,41,4
chr10,4721,37756215,37756217,0.623,0.882,8,22,4
chr10,4722,38103660,38103662,0.344,0.578,11,32,7
chr10,4725,38190708,38190710,0.885,0.665,52,120,15
chr10,4726,38213289,38213291,0.7,0.443,18,48,7
chr10,4729,38312832,38312834,0.653,0.849,26,55,6
chr10,4730,38376956,38376958,0.749,0.538,15,39,5
chr10,4731,38378430,38378432,0.555,0.751,27,46,9
chr10,4732,38474709,38474711,0.678,0.466,15,24,3
chr10,4734,38691168,38691170,0.339,0.718,14,14,3
chr10,4735,38694408,38694410,0.109,0.381,5,19,3
chr10,4739,38849773,38849775,0.329,0.616,17,54,7
chr10,4740,38956608,38956610,0.378,0.569,32,52,8
chr10,4741,39083380,39083382,0.541,0.331,12,34,4
chr10,4742,39086271,39086273,0.673,0.869,20,37,5
chr10,4743,39098337,39098339,0.589,0.83,15,29,3
chr10,4744,39098755,39098757,0.302,0.629,27,90,9
chr10,4745,39105013,39105015,0.474,0.723,50,94,9
chr10,4746,39191990,39191992,0.831,0.499,12,23,4
chr10,4748,39229787,39229789,0.24,0.523,12,23,4
chr10,4750,39460042,39460044,0.668,0.425,7,23,4
chr10,4752,39509487,39509489,0.755,0.95,5,15,4
chr10,4754,39654248,39654250,0.097,0.504,13,23,5
chr10,4756,39788516,39788518,0.601,0.307,5,9,3
chr10,4758,40023204,40023206,0.655,0.846,17,22,3
chr10,4760,40024261,40024263,0.64,0.853,16,38,6
chr10,4761,40055717,40055719,0.705,0.455,53,140,15
chr10,4762,40065439,40065441,0.551,0.761,14,26,6
chr10,4763,40090539,40090541,0.64,0.377,28,54,7
chr10,4764,40091388,40091390,0.682,0.409,5,11,3
chr10,4765,40121206,40121208,0.366,0.676,13,35,9
chr10,4767,40151909,40151911,0.562,0.295,29,63,8
chr10,4771,40248128,40248130,0.406,0.636,16,37,4
chr10,4773,40359219,40359221,0.823,0.598,40,76,8
chr10,4774,40374056,40374058,0.409,0.652,33,84,10
chr10,4776,40438813,40438815,0.744,0.494,11,27,4
chr10,4777,40731867,40731869,0.74,0.936,30,92,7
chr10,4778,40755914,40755916,0.529,0.726,32,59,6
chr10,4781,40840670,40840672,0.634,0.413,35,80,13
chr10,4784,41320831,41320833,0.81,0.58,25,33,6
chr10,4785,41321673,41321675,0.805,0.581,21,59,8
chr10,4786,41390948,41390950,0.645,0.846,9,6,3
chr10,4788,41409468,41409470,0.782,0.554,12,46,4
chr10,4789,41454732,41454734,0.622,0.856,24,86,9
chr10,4791,41782320,41782322,0.591,0.802,10,22,3
chr10,4793,42164304,42164306,0.463,0.65,17,33,3
chr10,4796,42228837,42228839,0.634,0.866,10,21,3
chr10,4797,42229722,42229724,0.63,0.86,9,19,3
chr10,4798,42230416,42230418,0.648,0.863,4,12,3
chr10,4799,42230864,42230866,0.672,0.868,10,11,5
chr10,4803,42470567,42470569,0.651,0.849,12,32,5
chr10,4804,42544352,42544354,0.617,0.821,21,55,8
chr10,4806,42670397,42670399,0.793,0.507,18,50,6
chr10,4807,42670952,42670954,0.726,0.491,29,36,5
chr10,4809,42720221,42720223,0.641,0.428,13,33,4
chr10,4810,42809706,42809708,0.69,0.897,23,41,4
chr10,4811,42810249,42810251,0.662,0.887,30,87,12
chr10,4812,42932029,42932031,0.585,0.34,11,28,7
chr10,4813,42966175,42966177,0.467,0.234,18,24,12
chr10,4814,42996637,42996639,0.848,0.603,46,85,11
chr10,4815,43023370,43023372,0.331,0.572,16,53,6
chr10,4816,43114615,43114617,0.306,0.508,6,19,3
chr10,4818,43179012,43179014,0.585,0.771,5,38,4
chr10,4819,43247488,43247490,0.51,0.713,15,21,5
chr10,4822,43382016,43382018,0.59,0.847,26,67,6
chr10,4826,43408170,43408172,0.376,0.146,41,58,11
chr10,4827,43408848,43408850,0.522,0.302,6,22,3
chr10,4828,43424238,43424240,0.481,0.696,19,37,3
chr10,4831,43600223,43600225,0.57,0.782,16,27,4
chr10,4832,43666615,43666617,0.412,0.644,4,14,3
chr10,4833,43667131,43667133,0.38,0.641,35,80,13
chr10,4834,43668674,43668676,0.489,0.699,8,20,4
chr10,4835,43681873,43681875,0.367,0.593,42,77,11
chr10,4837,43761920,43761922,0.179,0.428,6,19,3
chr10,4838,43769205,43769207,0.641,0.345,22,53,6
chr10,4841,44495123,44495125,0.833,0.63,5,7,3
chr10,4850,45168767,45168769,0.488,0.091,10,12,4
chr10,4852,45279764,45279766,0.614,0.323,4,13,3
chr10,4854,45296911,45296913,0.281,0.066,8,28,6
chr10,4859,45544785,45544787,0.815,0.5,12,29,4
chr10,4860,45623653,45623655,0.635,0.869,29,60,12
chr10,4862,45831236,45831238,0.592,0.794,6,13,3
chr10,4863,46043985,46043987,0.945,0.706,3,7,3
chr10,4866,46266313,46266315,0.438,0.625,34,57,8
chr10,4867,46310638,46310640,0.806,0.528,45,161,18
chr10,4869,46313804,46313806,0.126,0.519,7,21,4
chr10,4870,46412741,46412743,0.301,0.596,9,29,4
chr10,4873,46581558,46581560,0.894,0.683,38,35,4
chr10,4874,46658808,46658810,0.519,0.744,43,124,17
chr10,4876,46903905,46903907,0.916,0.542,17,53,5
chr10,4878,46908206,46908208,0.844,0.516,10,24,4
chr10,4880,46911339,46911341,0.561,0.873,11,31,5
chr10,4883,47017452,47017454,0.591,0.916,10,37,3
chr10,4885,47053301,47053303,0.363,0.885,9,30,3
chr10,4887,47054328,47054330,0.61,0.845,17,36,6
chr10,4888,47511703,47511705,0.634,0.857,9,42,3
chr10,4892,47667409,47667411,0.264,0.497,12,50,6
chr10,4895,47723836,47723838,0.537,0.294,10,28,3
chr10,4896,47857654,47857656,0.76,0.377,26,37,4
chr10,4899,47990458,47990460,0.4,0.596,14,45,6
chr10,4900,48112845,48112847,0.63,0.841,12,14,3
chr10,4901,48113494,48113496,0.59,0.845,17,17,5
chr10,4904,48127714,48127716,0.474,0.858,7,5,3
chr10,4905,48234563,48234565,0.442,0.223,10,17,6
chr10,4908,48336384,48336386,0.635,0.831,7,23,4
chr10,4911,48598232,48598234,0.798,0.474,5,8,4
chr10,4913,48750155,48750157,0.725,0.955,8,15,4
chr10,4914,48753113,48753115,0.732,0.94,10,22,3
chr10,4915,48753538,48753540,0.744,0.938,10,15,3
chr10,4916,48775073,48775075,0.941,0.625,5,15,3
chr10,4921,48995470,48995472,0.85,0.491,10,36,3
chr10,4925,49120289,49120291,0.725,0.94,19,38,4
chr10,4928,49151351,49151353,0.627,0.269,10,12,3
chr10,4932,49173801,49173803,0.605,0.834,17,46,5
chr10,4933,49175988,49175990,0.34,0.627,14,36,4
chr10,4935,49197495,49197497,0.388,0.589,12,25,5
chr10,4938,49409909,49409911,0.536,0.757,11,44,6
chr10,4939,49428201,49428203,0.837,0.63,9,27,4
chr10,4942,49535603,49535605,0.463,0.677,22,31,4
chr10,4943,49704786,49704788,0.453,0.646,18,55,5
chr10,4946,49719495,49719497,0.571,0.791,4,28,3
chr10,4948,49890432,49890434,0.446,0.157,17,61,10
chr10,4950,49905257,49905259,0.838,0.615,33,52,7
chr10,4952,50431930,50431932,0.683,0.889,26,58,8
chr10,4954,50575359,50575361,0.863,0.641,9,11,3
chr10,4956,50597871,50597873,0.434,0.688,30,85,9
chr10,4957,50651199,50651201,0.646,0.871,19,46,5
chr10,4958,50651840,50651842,0.591,0.842,11,20,4
chr10,4959,50652780,50652782,0.53,0.764,9,46,5
chr10,4960,50708667,50708669,0.816,0.604,64,151,15
chr10,4961,50784741,50784743,0.617,0.814,16,63,5
chr10,4962,50900611,50900613,0.702,0.481,14,32,3
chr10,4963,50901207,50901209,0.729,0.521,3,16,3
chr10,4966,51134167,51134169,0.771,0.56,18,53,7
chr10,4968,51366017,51366019,0.908,0.696,15,29,5
chr10,4969,51366892,51366894,0.908,0.696,14,21,6
chr10,4970,51477552,51477554,0.509,0.231,19,21,4
chr10,4971,51540514,51540516,0.534,0.733,27,36,12
chr10,4972,51591862,51591864,0.68,0.878,45,51,8
chr10,4974,51609016,51609018,0.606,0.821,17,30,5
chr10,4975,51669984,51669986,0.501,0.249,16,26,4
chr10,4979,51779759,51779761,0.556,0.348,17,38,5
chr10,4980,51859583,51859585,0.699,0.905,26,64,9
chr10,4981,51860312,51860314,0.656,0.869,25,49,8
chr10,4982,51887217,51887219,0.35,0.538,4,14,3
chr10,4983,52183202,52183204,0.702,0.452,29,120,13
chr10,4988,52302932,52302934,0.635,0.915,7,23,3
chr10,4990,52328496,52328498,0.821,0.556,13,37,4
chr10,4995,53278891,53278893,0.598,0.816,20,31,3
chr10,4996,53280730,53280732,0.569,0.836,25,92,9
chr10,4997,53281465,53281467,0.599,0.849,5,20,4
chr10,5001,53461224,53461226,0.55,0.742,11,23,3
chr10,5002,53569142,53569144,0.618,0.967,10,26,4
chr10,5003,53571489,53571491,0.286,0.606,34,68,8
chr10,5004,53572464,53572466,0.683,0.967,20,32,4
chr10,5006,53644945,53644947,0.334,0.543,18,47,5
chr10,5008,53658653,53658655,0.555,0.768,9,16,3
chr10,5009,53734562,53734564,0.714,0.921,9,27,4
chr10,5012,54079960,54079962,0.381,0.703,17,57,6
chr10,5013,54335026,54335028,0.525,0.751,125,295,32
chr10,5014,54520213,54520215,0.884,0.664,17,61,8
chr10,5015,54531371,54531373,0.855,0.642,27,61,6
chr10,5016,54532876,54532878,0.348,0.561,11,53,5
chr10,5017,54533705,54533707,0.623,0.828,28,75,7
chr10,5019,54587876,54587878,0.534,0.249,56,148,20
chr10,5020,54632489,54632491,0.723,0.917,24,48,8
chr10,5021,54656731,54656733,0.586,0.81,8,11,3
chr10,5022,54657593,54657595,0.644,0.858,9,21,3
chr10,5024,54681499,54681501,0.728,0.927,32,49,15
chr10,5025,54681928,54681930,0.683,0.893,32,66,7
chr10,5026,54822110,54822112,0.637,0.388,60,164,18
chr10,5027,54885080,54885082,0.528,0.735,61,98,13
chr10,5030,54959475,54959477,0.686,0.477,20,63,7
chr10,5031,54971381,54971383,0.6,0.393,20,46,8
chr10,5032,55138945,55138947,0.55,0.33,24,73,6
chr10,5033,55148111,55148113,0.614,0.286,48,161,18
chr10,5034,55171777,55171779,0.588,0.782,13,23,3
chr10,5037,55540217,55540219,0.824,0.564,31,53,6
chr10,5041,55650748,55650750,0.539,0.731,8,34,4
chr10,5043,55655363,55655365,0.465,0.212,43,119,16
chr10,5044,55657824,55657826,0.402,0.631,10,24,3
chr10,5047,55676385,55676387,0.264,0.478,6,32,3
chr10,5048,55848975,55848977,0.19,0.446,16,26,7
chr10,5049,55871904,55871906,0.394,0.598,29,59,12
chr10,5050,55923659,55923661,0.359,0.117,14,73,7
chr10,5053,56014705,56014707,0.787,0.532,17,32,5
chr10,5054,56066498,56066500,0.664,0.407,32,96,10
chr10,5055,56152597,56152599,0.543,0.757,13,24,5
chr10,5056,56161599,56161601,0.578,0.794,30,66,8
chr10,5057,56173427,56173429,0.752,0.969,9,24,5
chr10,5058,56174200,56174202,0.699,0.921,5,8,3
chr10,5059,56205895,56205897,0.629,0.42,12,25,6
chr10,5061,56259840,56259842,0.614,0.832,20,56,6
chr10,5064,56274937,56274939,0.249,0.497,8,17,3
chr10,5065,56289968,56289970,0.878,0.66,44,120,13
chr10,5066,56300285,56300287,0.498,0.799,11,27,3
chr10,5069,56364217,56364219,0.763,0.194,3,8,3
chr10,5070,56366507,56366509,0.62,0.851,23,30,4
chr10,5072,56409244,56409246,0.383,0.143,15,40,4
chr10,5075,56454933,56454935,0.497,0.719,61,185,20
chr10,5076,56465991,56465993,0.427,0.692,14,24,6
chr10,5077,56525805,56525807,0.403,0.595,12,18,3
chr10,5078,56559640,56559642,0.166,0.381,9,17,3
chr10,5079,56560015,56560017,0.471,0.796,18,25,10
chr10,5080,56560739,56560741,0.566,0.863,3,11,3
chr10,5081,56575235,56575237,0.671,0.451,11,29,4
chr10,5083,56601834,56601836,0.525,0.282,11,11,3
chr10,5084,56624896,56624898,0.471,0.216,5,17,3
chr10,5088,56633544,56633546,0.729,0.491,29,42,6
chr10,5089,56636630,56636632,0.414,0.608,22,59,6
chr10,5090,56644527,56644529,0.656,0.916,23,50,7
chr10,5091,56829990,56829992,0.403,0.638,14,52,5
chr10,5096,56935293,56935295,0.403,0.639,40,106,11
chr10,5098,57131760,57131762,0.39,0.143,11,21,8
chr10,5103,57292766,57292768,0.503,0.288,11,42,5
chr10,5104,57357501,57357503,0.491,0.698,13,21,5
chr10,5105,57379256,57379258,0.316,0.504,6,26,3
chr10,5107,57387744,57387746,0.552,0.876,4,5,4
chr10,5112,58056485,58056487,0.571,0.758,11,24,3
chr10,5114,58257611,58257613,0.929,0.7,53,118,13
chr10,5117,58551878,58551880,0.594,0.851,19,64,6
chr10,5118,58611638,58611640,0.511,0.8,35,60,8
chr10,5120,58657738,58657740,0.569,0.338,106,237,22
chr10,5121,58673635,58673637,0.791,0.561,40,53,8
chr10,5123,58832483,58832485,0.547,0.741,10,27,4
chr10,5124,58834821,58834823,0.525,0.303,15,30,4
chr10,5125,58873255,58873257,0.601,0.86,28,49,6
chr10,5126,58925011,58925013,0.398,0.781,13,47,7
chr10,5128,58931101,58931103,0.272,0.504,5,17,3
chr10,5129,58938815,58938817,0.622,0.826,14,20,4
chr10,5131,59001150,59001152,0.507,0.249,11,35,4
chr10,5135,59657809,59657811,0.589,0.787,36,109,11
chr10,5136,59662383,59662385,0.353,0.733,28,55,11
chr10,5138,59767307,59767309,0.799,0.587,3,21,3
chr10,5141,59956463,59956465,0.645,0.835,15,23,6
chr10,5158,61077405,61077407,0.519,0.751,14,25,4
chr10,5160,61215063,61215065,0.754,0.54,24,64,8
chr10,5161,61318483,61318485,0.258,0.463,5,28,3
chr10,5162,61395900,61395902,0.506,0.19,28,80,8
chr10,5163,61402305,61402307,0.163,0.363,22,38,5
chr10,5167,61625482,61625484,0.356,0.735,14,38,8
chr10,5168,61627425,61627427,0.068,0.429,5,22,3
chr10,5171,61661966,61661968,0.564,0.755,5,7,4
chr10,5172,61747163,61747165,0.449,0.651,5,15,3
chr10,5173,62021337,62021339,0.557,0.76,11,37,3
chr10,5175,62115178,62115180,0.384,0.573,14,63,5
chr10,5177,62192094,62192096,0.611,0.333,13,24,3
chr10,5178,62229748,62229750,0.562,0.758,39,71,12
chr10,5181,62426968,62426970,0.455,0.681,18,32,3
chr10,5183,62478526,62478528,0.624,0.964,19,37,5
chr10,5184,62532706,62532708,0.749,0.138,6,10,6
chr10,5187,62673590,62673592,0.283,0.514,11,28,5
chr10,5188,62815121,62815123,0.596,0.84,5,20,3
chr10,5192,63013043,63013045,0.876,0.581,3,14,3
chr10,5195,63289465,63289467,0.362,0.569,10,28,3
chr10,5197,63436551,63436553,0.529,0.83,38,78,18
chr10,5199,63514994,63514996,0.646,0.438,23,79,9
chr10,5201,63618833,63618835,0.653,0.85,24,39,9
chr10,5202,63666499,63666501,0.573,0.82,15,23,5
chr10,5204,63675950,63675952,0.791,0.582,27,67,9
chr10,5209,63799700,63799702,0.278,0.055,24,48,7
chr10,5212,63951186,63951188,0.257,0.558,32,59,9
chr10,5213,64130615,64130617,0.847,0.597,3,9,3
chr10,5214,64195103,64195105,0.712,0.498,14,34,5
